"Registry name","Key"
"friendsandfoes:copper_golem_press_button","copper_golem_press_button"
"friendsandfoes:copper_golem_spin_head","copper_golem_spin_head"
"friendsandfoes:crab_dance","crab_dance"
"friendsandfoes:crab_lay_egg","crab_lay_egg"
"friendsandfoes:crab_wave","crab_wave"
"friendsandfoes:glare_eat_glow_berries","glare_eat_glow_berries"
"friendsandfoes:glare_show_dark_spot","glare_dark_spot"
"friendsandfoes:rascal_wait","rascal_wait"
"friendsandfoes:tuff_golem_home","tuff_golem_home"
"minecraft:admire_item","admire_item"
"minecraft:avoid","avoid"
"minecraft:celebrate","celebrate"
"minecraft:core","core"
"minecraft:dig","dig"
"minecraft:emerge","emerge"
"minecraft:fight","fight"
"minecraft:hide","hide"
"minecraft:idle","idle"
"minecraft:investigate","investigate"
"minecraft:lay_spawn","lay_spawn"
"minecraft:long_jump","long_jump"
"minecraft:meet","meet"
"minecraft:panic","panic"
"minecraft:play","play"
"minecraft:play_dead","play_dead"
"minecraft:pre_raid","pre_raid"
"minecraft:raid","raid"
"minecraft:ram","ram"
"minecraft:rest","rest"
"minecraft:ride","ride"
"minecraft:roar","roar"
"minecraft:sniff","sniff"
"minecraft:swim","swim"
"minecraft:tongue","tongue"
"minecraft:work","work"
