"ID","Name","Description","Parent"
"advancednetherite:husbandry/obtain_netherite_diamond_hoe","[Why?]","Craft a Netherite-Diamond Hoe and visit a psychologist afterwards","minecraft:husbandry/obtain_netherite_hoe"
"advancednetherite:nether/netherite_diamond_armor","[Cover Me in Netherite-Diamond]","Get a full suit of Netherite-Diamond armor","advancednetherite:nether/netherite_emerald_armor"
"advancednetherite:nether/netherite_emerald_armor","[Endermen?]","Get a full suit of Netherite-Emerald armor","advancednetherite:nether/netherite_gold_armor"
"advancednetherite:nether/netherite_gold_armor","[Ultimate Piglin distraction suit]","Get a full suit of Netherite-Gold armor","advancednetherite:nether/netherite_iron_armor"
"advancednetherite:nether/netherite_iron_armor","[No More Phantoms]","Get a full suit of Netherite-Iron armor","minecraft:nether/netherite_armor"
"advancednetherite:nether/obtain_netherite_diamond_block","[A very expensive block]","Obtain a Netherite-Diamond Block","advancednetherite:nether/obtain_netherite_iron_ingot"
"advancednetherite:nether/obtain_netherite_iron_ingot","[Upgrades!]","Obtain a Netherite-Iron Ingot","minecraft:nether/obtain_ancient_debris"
"advancednetherite:recipes/building_blocks/netherite_diamond_block","advancednetherite:recipes/building_blocks/netherite_diamond_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/building_blocks/netherite_emerald_block","advancednetherite:recipes/building_blocks/netherite_emerald_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/building_blocks/netherite_gold_block","advancednetherite:recipes/building_blocks/netherite_gold_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/building_blocks/netherite_iron_block","advancednetherite:recipes/building_blocks/netherite_iron_block","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/lodestone","advancednetherite:recipes/misc/lodestone","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_axe_smithing","advancednetherite:recipes/misc/netherite_diamond_axe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_boots_smithing","advancednetherite:recipes/misc/netherite_diamond_boots_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_chestplate_smithing","advancednetherite:recipes/misc/netherite_diamond_chestplate_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_helmet_smithing","advancednetherite:recipes/misc/netherite_diamond_helmet_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_hoe_smithing","advancednetherite:recipes/misc/netherite_diamond_hoe_smithing","<null>","minecraft:recipes/root"
"advancednetherite:recipes/misc/netherite_diamond_ingot","advancednetherite:recipes/misc/netherite_diamond_ingot","<null>","minecraft:recipes/root"
