"ID","Registry name","Temp.","RainType @ 0,0"
0,"still_life:alpine_heathlands"," 0,60",RAIN
1,"still_life:alpine_plains"," 0,60",RAIN
2,"still_life:alpine_tundra"," 0,60",RAIN
3,"betterend:amber_land"," 0,50",RAIN
4,"still_life:arctic_beach"," 0,40",RAIN
5,"still_life:arctic_deep_ocean"," 0,50",RAIN
6,"still_life:arctic_desert","-0,90",RAIN
7,"still_life:arctic_desert_basin"," 0,40",RAIN
8,"still_life:arctic_glacier","-2,00",RAIN
9,"still_life:arctic_river"," 0,25",RAIN
10,"still_life:arctic_shallow_ocean"," 0,00",RAIN
11,"still_life:arctic_tundra"," 0,40",RAIN
12,"still_life:arctic_wetlands"," 0,50",RAIN
13,"still_life:arid_beach"," 1,70",RAIN
14,"still_life:arid_desert"," 2,00",RAIN
15,"still_life:arid_highlands"," 1,60",RAIN
16,"incendium:ash_barrens"," 2,00",RAIN
17,"minecraft:badlands"," 2,00",RAIN
18,"minecraft:bamboo_jungle"," 0,95",RAIN
19,"still_life:barren_arctic_desert","-2,00",RAIN
20,"still_life:barren_caves"," 0,70",RAIN
21,"still_life:barren_mediterranean_highlands"," 2,00",RAIN
22,"still_life:barren_peaks"," 1,50",RAIN
23,"still_life:barren_tundra"," 0,40",RAIN
24,"minecraft:basalt_deltas"," 2,00",RAIN
25,"minecraft:beach"," 0,80",RAIN
26,"minecraft:birch_forest"," 0,60",RAIN
27,"still_life:birch_forest"," 0,60",RAIN
28,"betterend:blossoming_spires"," 0,50",RAIN
29,"still_life:bog"," 0,50",RAIN
30,"betternether:bone_reef"," 2,00",RAIN
31,"still_life:boreal_alpine_tundra"," 0,60",RAIN
32,"still_life:boreal_river"," 0,60",RAIN
33,"minecraft:cherry_grove"," 0,50",RAIN
34,"betterend:chorus_forest"," 0,50",RAIN
35,"still_life:cold_barren_highlands"," 0,60",RAIN
36,"still_life:cold_deep_ocean"," 0,50",RAIN
37,"still_life:cold_desert"," 2,00",RAIN
38,"minecraft:cold_ocean"," 0,50",RAIN
39,"still_life:cold_semi_desert"," 0,60",RAIN
40,"still_life:cold_shallow_ocean"," 0,50",RAIN
41,"still_life:cold_steppe"," 0,70",RAIN
42,"still_life:cold_taiga"," 0,50",RAIN
43,"still_life:cold_taiga_clearings"," 0,50",RAIN
44,"still_life:cold_tundra_beach"," 0,50",RAIN
45,"minecraft:crimson_forest"," 2,00",RAIN
46,"betternether:crimson_glowing_woods"," 2,00",RAIN
47,"betternether:crimson_pinewood"," 2,00",RAIN
48,"galosphere:crystal_canyons"," 0,50",RAIN
49,"betterend:crystal_mountains"," 0,50",RAIN
50,"nullscape:crystal_peaks"," 0,50",RAIN
51,"minecraft:dark_forest"," 0,70",RAIN
52,"minecraft:deep_cold_ocean"," 0,50",RAIN
53,"minecraft:deep_dark"," 0,80",RAIN
