"ID","Registry name","Fog Color","Sky Color","Water Color","Water Fog Color","Grass Color","Foliage Color"
0,"still_life:alpine_heathlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00476C79 (4680825)","0x000E181C (923676)","0x009BBA67 (  10205799)","0x006C8E46 (   7114310)"
1,"still_life:alpine_plains","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00476C79 (4680825)","0x000E181C (923676)","0x009BBA67 (  10205799)","0x006C8E46 (   7114310)"
2,"still_life:alpine_tundra","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00476C79 (4680825)","0x000E181C (923676)","0x00A6AC5E (  10923102)","0x006C8E46 (   7114310)"
3,"betterend:amber_land","0xFFFFB847 (-18361)","0x00000000 (0)","0xFF916C48 (-7246776)","0xFF916C48 (-7246776)","0xFFDB7326 (  -2395354)","0xFFDB7326 (  -2395354)"
4,"still_life:arctic_beach","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x00414E71 (4279921)","0x0000081B (2075)","0x008F9164 (   9408868)","0x00837346 (   8614726)"
5,"still_life:arctic_deep_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x00414E71 (4279921)","0x0000081B (2075)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
6,"still_life:arctic_desert","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00B48F73 (  11833203)","0x00A5B350 (  10859344)"
7,"still_life:arctic_desert_basin","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x0093966F (   9672303)","0x00837346 (   8614726)"
8,"still_life:arctic_glacier","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00B48F73 (  11833203)","0x00A5B350 (  10859344)"
9,"still_life:arctic_river","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x008F9164 (   9408868)","0x00837346 (   8614726)"
