"ID","Registry name","Spawns"
0,"still_life:alpine_heathlands","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:hills_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:hills_creeper [weight: 75, min: 2, max: 2] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { meadow:wooly_sheep [weight: 10, min: 2, max: 3] }; { minecraft:chicken [weight: 1, min: 4, max: 4] }; { minecraft:donkey [weight: 2, min: 1, max: 1] }; { minecraft:goat [weight: 10, min: 4, max: 4] }; { minecraft:horse [weight: 1, min: 2, max: 6] }; { minecraft:pig [weight: 1, min: 4, max: 4] }; { minecraft:sheep [weight: 22, min: 4, max: 4] }; { naturalist:bear [weight: 10, min: 1, max: 2] }; { naturalist:bluejay [weight: 10, min: 1, max: 4] }; { naturalist:canary [weight: 10, min: 1, max: 4] }; { naturalist:robin [weight: 10, min: 1, max: 4] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
1,"still_life:alpine_plains","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:hills_creeper [weight: 75, min: 2, max: 2] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { crittersandcompanions:ferret [weight: 4, min: 2, max: 3] }; { meadow:wooly_sheep [weight: 10, min: 2, max: 3] }; { minecraft:chicken [weight: 1, min: 4, max: 4] }; { minecraft:donkey [weight: 2, min: 1, max: 1] }; { minecraft:goat [weight: 10, min: 4, max: 4] }; { minecraft:horse [weight: 1, min: 2, max: 6] }; { minecraft:pig [weight: 1, min: 4, max: 4] }; { minecraft:sheep [weight: 22, min: 4, max: 4] }; { naturalist:bear [weight: 10, min: 1, max: 2] }; { naturalist:canary [weight: 10, min: 1, max: 4] }; { naturalist:deer [weight: 10, min: 1, max: 3] }; { naturalist:robin [weight: 10, min: 1, max: 4] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { naturalist:snake [weight: 10, min: 1, max: 1] }; { naturalist:sparrow [weight: 10, min: 1, max: 4] }; { wildernature:bison [weight: 14, min: 3, max: 6] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { naturalist:butterfly [weight: 10, min: 3, max: 5] }; { naturalist:firefly [weight: 10, min: 2, max: 3] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }; { untitledduckmod:goose [weight: 4, min: 2, max: 4] }"
2,"still_life:alpine_tundra","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:hills_creeper [weight: 75, min: 2, max: 2] }; { endermanoverhaul:cave_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:snowy_enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 120, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 50, min: 4, max: 4] }; { minecraft:witch [weight: 2, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { meadow:wooly_sheep [weight: 10, min: 2, max: 3] }; { minecraft:goat [weight: 10, min: 2, max: 3] }; { minecraft:sheep [weight: 6, min: 2, max: 3] }; { naturalist:bear [weight: 10, min: 1, max: 2] }; { naturalist:canary [weight: 10, min: 1, max: 4] }; { naturalist:robin [weight: 10, min: 1, max: 4] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
3,"betterend:amber_land","{ betterend:end_slime [weight: 30, min: 1, max: 2] }; { endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:end_islands_enderman [weight: 1, min: 1, max: 1] }; { minecraft:enderman [weight: 50, min: 1, max: 4] }"
4,"still_life:arctic_beach","{ creeperoverhaul:beach_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 10, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 90, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 80, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:polar_bear [weight: 2, min: 1, max: 2] }; { naturalist:coral_snake [weight: 10, min: 1, max: 1] }; { wildernature:pelican [weight: 7, min: 3, max: 5] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
5,"still_life:arctic_deep_ocean","{ minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 10, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 90, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 80, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:polar_bear [weight: 1, min: 1, max: 2] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { minecraft:squid [weight: 10, min: 1, max: 4] }; { minecraft:cod [weight: 25, min: 8, max: 8] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }; { hybrid-aquatic:anglerfish [weight: 3, min: 1, max: 2] }; { hybrid-aquatic:ratfish [weight: 5, min: 1, max: 3] }; { hybrid-aquatic:sea_angel [weight: 1, min: 1, max: 2] }; { hybrid-aquatic:snailfish [weight: 5, min: 1, max: 3] }; { hybrid-aquatic:arrow_squid [weight: 3, min: 1, max: 2] }; { hybrid-aquatic:big_red_jellyfish [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:cosmic_jellyfish [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:crown_jellyfish [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:firework_jellyfish [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:lions_mane_jellyfish [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:mauve_stinger [weight: 2, min: 1, max: 3] }; { hybrid-aquatic:nomura_jellyfish [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:basking_shark [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:yeti_crab [weight: 2, min: 1, max: 2] }; { hybrid-aquatic:sea_cucumber [weight: 3, min: 1, max: 2] }; { hybrid-aquatic:sea_cucumber [weight: 3, min: 1, max: 2] }; { hybrid-aquatic:sea_urchin [weight: 3, min: 0, max: 2] }; { hybrid-aquatic:sea_urchin [weight: 3, min: 0, max: 2] }; { hybrid-aquatic:starfish [weight: 2, min: 0, max: 2] }; { hybrid-aquatic:starfish [weight: 2, min: 0, max: 2] }"
6,"still_life:arctic_desert","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:snowy_creeper [weight: 75, min: 2, max: 2] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 10, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 90, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 80, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:polar_bear [weight: 2, min: 1, max: 2] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
7,"still_life:arctic_desert_basin","{ minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 10, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 90, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 80, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:cow [weight: 6, min: 4, max: 4] }; { minecraft:polar_bear [weight: 2, min: 1, max: 2] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
8,"still_life:arctic_glacier","{ minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 10, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 90, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 80, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:polar_bear [weight: 1, min: 1, max: 2] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
9,"still_life:arctic_river","{ minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 10, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 90, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 80, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { meadow:water_buffalo [weight: 3, min: 2, max: 3] }; { naturalist:coral_snake [weight: 10, min: 1, max: 1] }; { naturalist:duck [weight: 10, min: 1, max: 3] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { wildernature:pelican [weight: 7, min: 3, max: 5] }; { crittersandcompanions:dragonfly [weight: 7, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { crittersandcompanions:otter [weight: 1, min: 3, max: 5] }; { crittersandcompanions:koi_fish [weight: 4, min: 2, max: 5] }; { fetzisasiandeco:koi [weight: 5, min: 2, max: 5] }; { naturalist:bass [weight: 10, min: 4, max: 4] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }; { untitledduckmod:duck [weight: 6, min: 2, max: 4] }; { untitledduckmod:goose [weight: 4, min: 2, max: 4] }"
