"ID","Registry name","Tags"
0,"still_life:alpine_heathlands","galosphere:has_structure/forgotten_ruins, friendsandfoes:has_rascal, betterdungeons:has_structure/skeleton_dungeon, elemental_wizards_rpg:has_structure/earth_wizard, minecraft:has_structure/mineshaft, farmersdelight:wild_carrots_whitelist, still_life:is_still_life, loot_n_explore:has_structure/wizards_earth_tower, betterdungeons:has_structure/zombie_dungeon, naturalist:has_snail, betterdungeons:has_structure/small_dungeon, naturalist:has_bear, loot_n_explore:has_structure/wizards_wind_monolith, farmersdelight:wild_potatoes_whitelist, minecraft:has_structure/pillager_outpost, supplementaries:has_wild_flax, explorify:has_structure/ruins, bettermineshafts:has_structure/mineshaft, structory:has_structure/ruins, herbalbrews:mountain_biomes, minecraft:has_structure/stronghold, c:mountain, c:in_overworld, naturalist:has_robin, ae2:has_meteorites, minecraft:is_hill, meadow:spawns_rocky_sheep, structory_towers:has_structure/towers, minecraft:is_mountain, farmersdelight:wild_onions_whitelist, supplementaries:has_way_signs, naturalist:has_bluejay, vinery:spawns_grape, minecraft:has_structure/ruined_portal_mountain, betterstrongholds:has_structure/better_stronghold, minecraft:stronghold_biased_to, betterdungeons:has_structure/spider_dungeon, underground_bunkers:has_structure/underground_bunker_biomes, elemental_wizards_rpg:has_structure/wind_wizard_monolith, vinery:spawns_taiga_grape, naturalist:has_canary, minecraft:is_overworld, structory_towers:shattered_biomes, betterstrongholds:has_structure/stronghold, supplementaries:has_cave_urns"
1,"still_life:alpine_plains","minecraft:has_structure/village_plains, minecraft:is_overworld, naturalist:has_bear, c:in_overworld, c:plains, loot_n_explore:has_structure/wizards_plains_structures, minecraft:has_structure/mineshaft, still_life:is_still_life, farmersdelight:wild_potatoes_whitelist, wildernature:spawns_bison, untitledduckmod:goose_spawn, underground_bunkers:has_structure/underground_bunker_biomes, structory_towers:has_structure/towers, bettermineshafts:has_structure/mineshaft, herbalbrews:mountain_biomes, c:mountain, friendsandfoes:has_rascal, naturalist:has_firefly, structory:has_structure/northern_ruin, naturalist:has_snake, explorify:has_structure/ruins, supplementaries:has_cave_urns, explorify:has_structure/farmstead, structory:has_structure/ruins, betterdungeons:has_structure/skeleton_dungeon, naturalist:has_robin, vinery:spawns_taiga_grape, minecraft:has_structure/pillager_outpost, supplementaries:has_wild_flax, naturalist:has_canary, minecraft:has_structure/ruined_portal_mountain, t_and_t:has_structure/village_plains, betterdungeons:has_structure/spider_dungeon, meadow:spawns_rocky_sheep, explorify:has_structure/tavern, minecraft:has_structure/stronghold, farmersdelight:wild_onions_whitelist, supplementaries:has_way_signs, naturalist:has_sparrow, ae2:has_meteorites, betterstrongholds:has_structure/better_stronghold, betterstrongholds:has_structure/stronghold, bettermineshafts:has_structure/better_mineshaft_oak, naturalist:has_butterfly, betterdungeons:has_structure/small_dungeon, betterdungeons:has_structure/zombie_dungeon, farmersdelight:wild_carrots_whitelist, naturalist:has_snail, explorify:has_structure/watchtower_plains, minecraft:stronghold_biased_to, minecraft:is_mountain, galosphere:has_structure/forgotten_ruins, naturalist:has_deer, vinery:spawns_grape"
2,"still_life:alpine_tundra","minecraft:has_structure/ruined_portal_mountain, minecraft:has_structure/village_snowy, betterstrongholds:has_structure/stronghold, minecraft:has_structure/pillager_outpost, minecraft:is_cold, underground_bunkers:has_structure/underground_bunker_biomes, bettermineshafts:has_structure/mineshaft, betterstrongholds:has_structure/better_stronghold, naturalist:has_bear, meadow:spawns_rocky_sheep, minecraft:spawns_cold_variant_frogs, supplementaries:has_cave_urns, supplementaries:has_way_signs, supplementaries:has_wild_flax, c:in_overworld, vinery:spawns_grape, naturalist:has_robin, betterdungeons:has_structure/skeleton_dungeon, c:climate_cold, minecraft:has_structure/mineshaft, betterdungeons:has_structure/zombie_dungeon, betterdungeons:has_structure/small_dungeon, endermanoverhaul:cave_spawns, t_and_t:has_structure/village_snowy, naturalist:has_canary, endermanoverhaul:all_spawns, herbalbrews:mountain_biomes, farmersdelight:wild_carrots_whitelist, galosphere:has_structure/forgotten_ruins, explorify:has_structure/ruins, c:mountain, friendsandfoes:has_rascal, ae2:has_meteorites, structory:has_structure/ruins, towns_and_towers:has_structure/village_snowy_slopes_inn, minecraft:stronghold_biased_to, vinery:spawns_taiga_grape, endermanoverhaul:snowy_spawns, structory_towers:has_structure/towers, minecraft:is_overworld, ecologics:has_penguin, farmersdelight:wild_onions_whitelist, farmersdelight:wild_potatoes_whitelist, betterdungeons:has_structure/spider_dungeon, still_life:is_still_life, minecraft:has_structure/stronghold, naturalist:has_snail, minecraft:is_mountain, creeperoverhaul:has_snowy_creeper, minecraft:spawns_snow_foxes"
3,"betterend:amber_land","endermanoverhaul:end_islands_spawns, minecraft:spawns_cold_variant_frogs, explorify:has_structure/end_shipwreck, minecraft:has_structure/end_city, minecraft:spawns_cold_variant_farm_animals, c:in_the_end, minecraft:is_end, c:is_end_highland, endermanoverhaul:end_spawns"
4,"still_life:arctic_beach","galosphere:has_structure/forgotten_ruins, herbalbrews:savanna_biomes, betterdungeons:has_structure/skeleton_dungeon, minecraft:spawns_snow_foxes, farmersdelight:has_wild_cabbage, minecraft:has_structure/mineshaft, farmersdelight:wild_carrots_whitelist, still_life:is_still_life, betterdungeons:has_structure/zombie_dungeon, minecraft:has_structure/shipwreck_beached, minecraft:has_structure/ruined_portal_standard, minecraft:spawns_white_rabbits, betterdungeons:has_structure/small_dungeon, minecraft:has_structure/buried_treasure, minecraft:spawns_cold_variant_frogs, farmersdelight:wild_potatoes_whitelist, supplementaries:has_wild_flax, explorify:has_structure/ruins, bettermineshafts:has_structure/mineshaft, structory:has_structure/ruins, minecraft:has_structure/stronghold, c:in_overworld, minecraft:spawns_cold_variant_farm_animals, minecraft:is_cold, ctov:has_structure/village_beach, ae2:has_meteorites, c:climate_cold, structory_towers:has_structure/towers, c:beach, ecologics:has_penguin, naturalist:has_coral_snake, wildernature:spawns_pelican, supplementaries:has_way_signs, farmersdelight:wild_onions_whitelist, farmersdelight:has_wild_beetroots, c:snowy_beach, minecraft:is_beach, hybrid-aquatic:bottle_spawn_biomes, minecraft:stronghold_biased_to, betterdungeons:has_structure/spider_dungeon, creeperoverhaul:has_snowy_creeper, minecraft:is_overworld, betterstrongholds:has_structure/stronghold, supplementaries:has_cave_urns, friendsandfoes:has_rascal"
5,"still_life:arctic_deep_ocean","creeperoverhaul:has_snowy_creeper, betterdungeons:has_structure/skeleton_dungeon, minecraft:has_structure/ruined_portal_ocean, minecraft:spawns_white_rabbits, hybrid-aquatic:bottle_spawn_biomes, c:climate_wet, supplementaries:has_cave_urns, minecraft:is_deep_ocean, supplementaries:has_way_signs, still_life:is_still_life, minecraft:spawns_cold_variant_frogs, c:is_water, minecraft:is_overworld, minecraft:has_structure/mineshaft, betterstrongholds:has_structure/stronghold, betterdungeons:has_structure/zombie_dungeon, minecraft:has_structure/ocean_monument, minecraft:is_ocean, c:aquatic, hybrid-aquatic:arctic_oceans, minecraft:is_cold, supplementaries:has_wild_flax, farmersdelight:wild_onions_whitelist, friendsandfoes:has_rascal, betteroceanmonuments:has_structure/better_ocean_monument, structory:has_structure/ruins, minecraft:has_structure/stronghold, c:ocean, hybrid-aquatic:deep_arctic_oceans, bettermineshafts:has_structure/mineshaft, minecraft:required_ocean_monument_surrounding, elemental_wizards_rpg:has_structure/wind_wizard, minecraft:spawns_cold_variant_farm_animals, ecologics:has_penguin, explorify:has_structure/ruins, c:in_overworld, minecraft:plays_underwater_music, farmersdelight:wild_potatoes_whitelist, betterdungeons:has_structure/spider_dungeon, c:climate_cold, galosphere:has_structure/forgotten_ruins, loot_n_explore:has_structure/wizards_water_monolith, structory_towers:has_structure/towers, betterdungeons:has_structure/small_dungeon, betteroceanmonuments:has_structure/ocean_monument, minecraft:spawns_snow_foxes, loot_n_explore:has_structure/wizards_wind_tower, ae2:has_meteorites, farmersdelight:wild_carrots_whitelist, minecraft:water_on_map_outlines, minecraft:has_structure/shipwreck, elemental_wizards_rpg:has_structure/water_wizard"
6,"still_life:arctic_desert","minecraft:spawns_cold_variant_frogs, friendsandfoes:has_rascal, betterdungeons:has_structure/small_dungeon, minecraft:has_structure/mineshaft, betterdungeons:has_structure/zombie_dungeon, galosphere:has_structure/forgotten_ruins, c:climate_cold, betterdungeons:has_structure/spider_dungeon, farmersdelight:wild_carrots_whitelist, minecraft:spawns_snow_foxes, ae2:has_meteorites, farmersdelight:wild_onions_whitelist, bettermineshafts:has_structure/mineshaft, minecraft:stronghold_biased_to, minecraft:is_cold, creeperoverhaul:has_snowy_creeper, minecraft:spawns_white_rabbits, farmersdelight:wild_potatoes_whitelist, supplementaries:has_way_signs, still_life:is_still_life, minecraft:is_overworld, supplementaries:has_wild_flax, betterdungeons:has_structure/skeleton_dungeon, ecologics:has_penguin, structory_towers:has_structure/towers, explorify:has_structure/ruins, supplementaries:has_cave_urns, c:in_overworld, structory:has_structure/ruins, minecraft:has_structure/stronghold, betterstrongholds:has_structure/stronghold, minecraft:spawns_cold_variant_farm_animals"
7,"still_life:arctic_desert_basin","minecraft:spawns_cold_variant_frogs, friendsandfoes:has_rascal, betterdungeons:has_structure/small_dungeon, minecraft:has_structure/mineshaft, betterdungeons:has_structure/zombie_dungeon, galosphere:has_structure/forgotten_ruins, c:climate_cold, betterdungeons:has_structure/spider_dungeon, farmersdelight:wild_carrots_whitelist, minecraft:spawns_snow_foxes, ae2:has_meteorites, farmersdelight:wild_onions_whitelist, bettermineshafts:has_structure/mineshaft, minecraft:stronghold_biased_to, minecraft:is_cold, creeperoverhaul:has_snowy_creeper, minecraft:spawns_white_rabbits, farmersdelight:wild_potatoes_whitelist, supplementaries:has_way_signs, still_life:is_still_life, minecraft:is_overworld, supplementaries:has_wild_flax, betterdungeons:has_structure/skeleton_dungeon, ecologics:has_penguin, structory_towers:has_structure/towers, explorify:has_structure/ruins, supplementaries:has_cave_urns, c:in_overworld, structory:has_structure/ruins, minecraft:has_structure/stronghold, betterstrongholds:has_structure/stronghold, minecraft:spawns_cold_variant_farm_animals"
8,"still_life:arctic_glacier","minecraft:spawns_cold_variant_frogs, friendsandfoes:has_rascal, betterdungeons:has_structure/small_dungeon, minecraft:has_structure/mineshaft, betterdungeons:has_structure/zombie_dungeon, galosphere:has_structure/forgotten_ruins, c:climate_cold, betterdungeons:has_structure/spider_dungeon, farmersdelight:wild_carrots_whitelist, minecraft:spawns_snow_foxes, ae2:has_meteorites, farmersdelight:wild_onions_whitelist, bettermineshafts:has_structure/mineshaft, minecraft:stronghold_biased_to, minecraft:is_cold, creeperoverhaul:has_snowy_creeper, minecraft:spawns_white_rabbits, farmersdelight:wild_potatoes_whitelist, supplementaries:has_way_signs, still_life:is_still_life, minecraft:is_overworld, supplementaries:has_wild_flax, betterdungeons:has_structure/skeleton_dungeon, ecologics:has_penguin, structory_towers:has_structure/towers, explorify:has_structure/ruins, supplementaries:has_cave_urns, c:in_overworld, structory:has_structure/ruins, minecraft:has_structure/stronghold, betterstrongholds:has_structure/stronghold, minecraft:spawns_cold_variant_farm_animals"
9,"still_life:arctic_river","minecraft:is_overworld, minecraft:more_frequent_drowned_spawns, elemental_wizards_rpg:has_structure/water_wizard_river, c:climate_wet, c:in_overworld, minecraft:water_on_map_outlines, minecraft:spawns_cold_variant_frogs, minecraft:has_structure/mineshaft, still_life:is_still_life, farmersdelight:wild_potatoes_whitelist, minecraft:required_ocean_monument_surrounding, untitledduckmod:goose_spawn, bettermineshafts:has_structure/mineshaft, structory_towers:has_structure/towers, naturalist:has_coral_snake, wildernature:spawns_pelican, untitledduckmod:duck_spawn, minecraft:reduce_water_ambient_spawns, friendsandfoes:has_rascal, elemental_wizards_rpg:has_structure/wind_wizard, explorify:has_structure/ruins, supplementaries:has_cave_urns, c:climate_cold, structory:has_structure/ruins, betterdungeons:has_structure/skeleton_dungeon, supplementaries:has_wild_flax, betterdungeons:has_structure/spider_dungeon, minecraft:has_structure/ruined_portal_standard, ecologics:has_penguin, minecraft:has_structure/stronghold, farmersdelight:wild_onions_whitelist, supplementaries:has_way_signs, minecraft:spawns_snow_foxes, ae2:has_meteorites, naturalist:has_duck, minecraft:is_river, naturalist:has_bass, creeperoverhaul:has_snowy_creeper, c:is_water, betterstrongholds:has_structure/stronghold, c:aquatic, minecraft:is_cold, c:river, minecraft:plays_underwater_music, loot_n_explore:has_structure/wizards_wind_tower, betterdungeons:has_structure/small_dungeon, minecraft:spawns_cold_variant_farm_animals, betterdungeons:has_structure/zombie_dungeon, farmersdelight:wild_carrots_whitelist, naturalist:has_snail, minecraft:stronghold_biased_to, minecraft:spawns_white_rabbits, galosphere:has_structure/forgotten_ruins, vinery:spawns_grape"
10,"still_life:arctic_shallow_ocean","minecraft:is_cold, betterstrongholds:has_structure/stronghold, minecraft:spawns_cold_variant_farm_animals, minecraft:has_structure/ruined_portal_ocean, bettermineshafts:has_structure/mineshaft, c:is_water, minecraft:spawns_cold_variant_frogs, c:climate_wet, supplementaries:has_cave_urns, supplementaries:has_way_signs, supplementaries:has_wild_flax, c:in_overworld, loot_n_explore:has_structure/wizards_wind_tower, betterdungeons:has_structure/skeleton_dungeon, minecraft:polar_bears_spawn_on_alternate_blocks, c:climate_cold, minecraft:has_structure/mineshaft, betterdungeons:has_structure/zombie_dungeon, betterdungeons:has_structure/small_dungeon, minecraft:is_ocean, minecraft:spawns_white_rabbits, hybrid-aquatic:arctic_oceans, minecraft:has_structure/ocean_ruin_cold, hybrid-aquatic:bottle_spawn_biomes, loot_n_explore:has_structure/wizards_water_monolith, farmersdelight:wild_carrots_whitelist, galosphere:has_structure/forgotten_ruins, explorify:has_structure/ruins, friendsandfoes:has_rascal, ae2:has_meteorites, structory:has_structure/ruins, hybrid-aquatic:shallow_arctic_oceans, elemental_wizards_rpg:has_structure/water_wizard, minecraft:water_on_map_outlines, c:aquatic, structory_towers:has_structure/towers, c:ocean, ecologics:has_penguin, farmersdelight:wild_onions_whitelist, elemental_wizards_rpg:has_structure/wind_wizard, betterdungeons:has_structure/spider_dungeon, minecraft:is_overworld, farmersdelight:wild_potatoes_whitelist, minecraft:plays_underwater_music, still_life:is_still_life, minecraft:has_structure/stronghold, minecraft:has_structure/shipwreck, minecraft:required_ocean_monument_surrounding, creeperoverhaul:has_snowy_creeper, minecraft:spawns_snow_foxes"
11,"still_life:arctic_tundra","structory_towers:has_structure/towers, minecraft:spawns_snow_foxes, endermanoverhaul:cave_spawns, betterdungeons:has_structure/zombie_dungeon, minecraft:stronghold_biased_to, betterdungeons:has_structure/skeleton_dungeon, minecraft:has_structure/mineshaft, minecraft:has_structure/stronghold, c:in_overworld, t_and_t:has_structure/pillager_outpost_snowy, explorify:has_structure/ruins, betterdungeons:has_structure/small_dungeon, ecologics:has_penguin, minecraft:has_structure/igloo, minecraft:has_structure/pillager_outpost, betterdungeons:has_structure/spider_dungeon, creeperoverhaul:has_snowy_creeper, farmersdelight:wild_potatoes_whitelist, minecraft:has_structure/village_snowy, minecraft:spawns_white_rabbits, friendsandfoes:has_rascal, minecraft:spawns_cold_variant_frogs, t_and_t:has_structure/village_snowy, structory:has_structure/ruins, endermanoverhaul:snowy_spawns, still_life:is_still_life, minecraft:is_cold, endermanoverhaul:all_spawns, c:climate_cold, betterstrongholds:has_structure/stronghold, ae2:has_meteorites, bettermineshafts:has_structure/mineshaft, galosphere:has_structure/forgotten_ruins"
12,"still_life:arctic_wetlands","farmersdelight:wild_potatoes_whitelist, minecraft:stronghold_biased_to, c:climate_wet, creeperoverhaul:has_snowy_creeper, structory:has_structure/ruins, bettermineshafts:has_structure/mineshaft, betterstrongholds:has_structure/stronghold, supplementaries:has_wild_flax, friendsandfoes:has_rascal, still_life:is_still_life, farmersdelight:wild_carrots_whitelist, minecraft:water_on_map_outlines, minecraft:spawns_cold_variant_farm_animals, minecraft:is_overworld, ecologics:has_penguin, supplementaries:has_cave_urns, t_and_t:has_structure/village_swamp, minecraft:spawns_cold_variant_frogs, betterdungeons:has_structure/zombie_dungeon, betterdungeons:has_structure/small_dungeon, supplementaries:has_way_signs, minecraft:is_cold, minecraft:spawns_snow_foxes, betterdungeons:has_structure/skeleton_dungeon, ae2:has_meteorites, minecraft:allows_surface_slime_spawns, minecraft:is_swamp, minecraft:has_structure/mineshaft, farmersdelight:wild_onions_whitelist, minecraft:spawns_white_rabbits, structory_towers:has_structure/towers, explorify:has_structure/ruins, c:climate_cold, c:in_overworld, betterdungeons:has_structure/spider_dungeon, galosphere:has_structure/forgotten_ruins, minecraft:has_structure/ruined_portal_swamp, minecraft:has_structure/stronghold"
13,"still_life:arid_beach","farmersdelight:wild_onions_whitelist, farmersdelight:has_wild_cabbage, friendsandfoes:has_rascal, betterdungeons:has_structure/skeleton_dungeon, minecraft:has_structure/mineshaft, farmersdelight:wild_potatoes_whitelist, structory_towers:has_structure/towers, towns_and_towers:has_structure/pillager_outpost_beach, minecraft:has_structure/buried_treasure, explorify:has_structure/ruins, wildernature:spawns_pelican, hybrid-aquatic:bottle_spawn_biomes, minecraft:snow_golem_melts, betterdungeons:has_structure/spider_dungeon, minecraft:has_structure/ruined_portal_standard, minecraft:is_overworld, still_life:is_still_life, ctov:has_structure/village_beach, minecraft:is_hot, betterdungeons:has_structure/zombie_dungeon, minecraft:spawns_warm_variant_frogs, minecraft:has_structure/shipwreck_beached, ae2:has_meteorites, supplementaries:has_cave_urns, supplementaries:has_way_signs, minecraft:stronghold_biased_to, bettermineshafts:has_structure/mineshaft, naturalist:has_coral_snake, galosphere:has_structure/forgotten_ruins, betterstrongholds:has_structure/stronghold, betterdungeons:has_structure/small_dungeon, minecraft:has_structure/stronghold, structory:has_structure/ruins, c:beach, herbalbrews:savanna_biomes, farmersdelight:has_wild_beetroots, c:in_overworld, supplementaries:has_wild_flax, minecraft:is_beach, c:climate_hot, farmersdelight:wild_carrots_whitelist"
