"Registry name","Map color (hex)","Map color (int)"
"advancednetherite:netherite_diamond_block","#191919","1644825"
"advancednetherite:netherite_emerald_block","#191919","1644825"
"advancednetherite:netherite_gold_block","#191919","1644825"
"advancednetherite:netherite_iron_block","#191919","1644825"
"ae2:16k_crafting_storage","#A7A7A7","10987431"
"ae2:1k_crafting_storage","#A7A7A7","10987431"
"ae2:256k_crafting_storage","#A7A7A7","10987431"
"ae2:4k_crafting_storage","#A7A7A7","10987431"
"ae2:64k_crafting_storage","#A7A7A7","10987431"
"ae2:cable_bus","#000000","0"
"ae2:cell_workbench","#A7A7A7","10987431"
"ae2:charger","#A7A7A7","10987431"
"ae2:chest","#A7A7A7","10987431"
"ae2:chipped_budding_quartz","#707070","7368816"
"ae2:chiseled_quartz_block","#707070","7368816"
"ae2:chiseled_quartz_slab","#707070","7368816"
"ae2:chiseled_quartz_stairs","#707070","7368816"
"ae2:chiseled_quartz_wall","#707070","7368816"
"ae2:condenser","#A7A7A7","10987431"
"ae2:controller","#A7A7A7","10987431"
"ae2:crafting_accelerator","#A7A7A7","10987431"
"ae2:crafting_monitor","#A7A7A7","10987431"
"ae2:crafting_unit","#A7A7A7","10987431"
"ae2:crank","#8F7748","9402184"
"ae2:creative_energy_cell","#000000","0"
"ae2:crystal_resonance_generator","#000000","0"
"ae2:cut_quartz_block","#707070","7368816"
"ae2:cut_quartz_slab","#707070","7368816"
"ae2:cut_quartz_stairs","#707070","7368816"
"ae2:cut_quartz_wall","#707070","7368816"
"ae2:damaged_budding_quartz","#707070","7368816"
"ae2:debug_chunk_loader","#A7A7A7","10987431"
"ae2:debug_cube_gen","#A7A7A7","10987431"
"ae2:debug_energy_gen","#A7A7A7","10987431"
"ae2:debug_item_gen","#A7A7A7","10987431"
"ae2:debug_phantom_node","#A7A7A7","10987431"
"ae2:dense_energy_cell","#000000","0"
"ae2:drive","#A7A7A7","10987431"
"ae2:energy_acceptor","#A7A7A7","10987431"
"ae2:energy_cell","#000000","0"
"ae2:flawed_budding_quartz","#707070","7368816"
"ae2:flawless_budding_quartz","#707070","7368816"
"ae2:fluix_block","#707070","7368816"
"ae2:fluix_slab","#707070","7368816"
"ae2:fluix_stairs","#707070","7368816"
"ae2:fluix_wall","#707070","7368816"
"ae2:growth_accelerator","#A7A7A7","10987431"
"ae2:inscriber","#A7A7A7","10987431"
"ae2:interface","#A7A7A7","10987431"
"ae2:io_port","#A7A7A7","10987431"
"ae2:large_quartz_bud","#4C7F99","5013401"
"ae2:light_detector","#A7A7A7","10987431"
"ae2:matrix_frame","#000000","0"
"ae2:medium_quartz_bud","#4C7F99","5013401"
"ae2:molecular_assembler","#A7A7A7","10987431"
"ae2:mysterious_cube","#A7A7A7","10987431"
"ae2:not_so_mysterious_cube","#A7A7A7","10987431"
"ae2:paint","#000000","0"
"ae2:pattern_provider","#A7A7A7","10987431"
"ae2:quantum_link","#000000","0"
"ae2:quantum_ring","#A7A7A7","10987431"
"ae2:quartz_block","#707070","7368816"
"ae2:quartz_brick_slab","#707070","7368816"
"ae2:quartz_brick_stairs","#707070","7368816"
"ae2:quartz_brick_wall","#707070","7368816"
"ae2:quartz_bricks","#707070","7368816"
"ae2:quartz_cluster","#4C7F99","5013401"
"ae2:quartz_fixture","#A7A7A7","10987431"
"ae2:quartz_glass","#000000","0"
"ae2:quartz_pillar","#707070","7368816"
"ae2:quartz_pillar_slab","#707070","7368816"
"ae2:quartz_pillar_stairs","#707070","7368816"
"ae2:quartz_pillar_wall","#707070","7368816"
"ae2:quartz_slab","#707070","7368816"
"ae2:quartz_stairs","#707070","7368816"
"ae2:quartz_vibrant_glass","#000000","0"
"ae2:quartz_wall","#707070","7368816"
"ae2:sky_stone_block","#707070","7368816"
"ae2:sky_stone_brick","#707070","7368816"
"ae2:sky_stone_brick_slab","#707070","7368816"
"ae2:sky_stone_brick_stairs","#707070","7368816"
"ae2:sky_stone_brick_wall","#707070","7368816"
"ae2:sky_stone_chest","#707070","7368816"
