"Mod name","Registry name","Hardness","Resistance"
"Chipped","chipped:acacia_barrel","2,50","2,50"
"Chipped","chipped:acacia_crate","2,50","2,50"
"Chipped","chipped:acacia_planks_mosaic","2,00","3,00"
"Chipped","chipped:acacia_planks_panel","2,00","3,00"
"Chipped","chipped:acacia_planks_shavings","2,00","3,00"
"Chipped","chipped:acacia_torch","0,00","0,00"
"Chipped","chipped:acacia_wall_torch","0,00","0,00"
"Chipped","chipped:ad_astra_ochre_froglight","0,30","0,30"
"Chipped","chipped:ad_astra_pearlescent_froglight","0,30","0,30"
"Chipped","chipped:ad_astra_verdant_froglight","0,30","0,30"
"Chipped","chipped:airy_birch_trapdoor","3,00","3,00"
"Chipped","chipped:airy_crimson_trapdoor","3,00","3,00"
"Chipped","chipped:airy_dark_oak_trapdoor","3,00","3,00"
"Chipped","chipped:airy_jungle_trapdoor","3,00","3,00"
"Chipped","chipped:airy_mangrove_trapdoor","3,00","3,00"
"Chipped","chipped:airy_oak_trapdoor","3,00","3,00"
"Chipped","chipped:airy_spruce_trapdoor","3,00","3,00"
"Chipped","chipped:airy_warped_trapdoor","3,00","3,00"
"Chipped","chipped:alchemy_bench","2,00","3,00"
"Chipped","chipped:amethyst_block_bricks","1,50","1,50"
"Chipped","chipped:amethyst_block_mini_tiles","1,50","1,50"
"Chipped","chipped:amethyst_block_pillar","1,50","1,50"
"Chipped","chipped:amethyst_block_pillar_top","1,50","1,50"
"Chipped","chipped:amethyst_block_scales","1,50","1,50"
"Chipped","chipped:ancient_cubed_oak_bookshelf","1,50","1,50"
"Chipped","chipped:ancient_debris_bricks","30,00","1200,00"
"Chipped","chipped:ancient_debris_mini_tiles","30,00","1200,00"
"Chipped","chipped:ancient_debris_pillar","30,00","1200,00"
"Chipped","chipped:ancient_debris_pillar_top","30,00","1200,00"
"Chipped","chipped:ancient_debris_scales","30,00","1200,00"
"Chipped","chipped:ancient_diamond_block","5,00","6,00"
"Chipped","chipped:ancient_emerald_block","5,00","6,00"
"Chipped","chipped:ancient_gold_block","3,00","6,00"
"Chipped","chipped:ancient_iron_block","5,00","6,00"
"Chipped","chipped:ancient_oak_bookshelf","1,50","1,50"
"Chipped","chipped:ancient_oak_large_bookshelf","1,50","1,50"
"Chipped","chipped:ancient_ochre_froglight","0,30","0,30"
"Chipped","chipped:ancient_pearlescent_froglight","0,30","0,30"
"Chipped","chipped:ancient_verdant_froglight","0,30","0,30"
"Chipped","chipped:ancient_vertical_oak_bookshelf","1,50","1,50"
"Chipped","chipped:ancient_waxed_copper_block","3,00","6,00"
"Chipped","chipped:ancient_waxed_exposed_copper","3,00","6,00"
"Chipped","chipped:ancient_waxed_oxidized_copper","3,00","6,00"
"Chipped","chipped:ancient_waxed_weathered_copper","3,00","6,00"
"Chipped","chipped:andesite_bricks","1,50","6,00"
"Chipped","chipped:andesite_gravel","0,60","0,60"
"Chipped","chipped:andesite_mini_tiles","1,50","6,00"
"Chipped","chipped:andesite_pillar","1,50","6,00"
"Chipped","chipped:andesite_pillar_top","1,50","6,00"
"Chipped","chipped:andesite_pointed_dripstone","1,50","3,00"
"Chipped","chipped:andesite_scales","1,50","6,00"
"Chipped","chipped:angled_mud_bricks","0,50","0,50"
"Chipped","chipped:angled_mud_bricks_bricks","1,50","3,00"
"Chipped","chipped:angled_packed_mud_bricks","1,00","3,00"
"Chipped","chipped:angry_amethyst_block","1,50","1,50"
"Chipped","chipped:angry_ancient_debris","30,00","1200,00"
"Chipped","chipped:angry_andesite","1,50","6,00"
"Chipped","chipped:angry_basalt","1,25","4,20"
"Chipped","chipped:angry_blackstone","1,50","6,00"
"Chipped","chipped:angry_blue_ice","2,80","2,80"
"Chipped","chipped:angry_borderless_bricks","2,00","6,00"
"Chipped","chipped:angry_bricks","2,00","6,00"
"Chipped","chipped:angry_calcite","0,75","0,75"
"Chipped","chipped:angry_clay","0,60","0,60"
"Chipped","chipped:angry_coal_block","5,00","6,00"
"Chipped","chipped:angry_cobblestone","2,00","6,00"
"Chipped","chipped:angry_crying_obsidian","50,00","1200,00"
"Chipped","chipped:angry_dark_prismarine","1,50","6,00"
"Chipped","chipped:angry_deepslate","3,00","6,00"
"Chipped","chipped:angry_diorite","1,50","6,00"
"Chipped","chipped:angry_dirt","0,50","0,50"
"Chipped","chipped:angry_dripstone_block","1,50","1,00"
"Chipped","chipped:angry_end_stone","3,00","9,00"
"Chipped","chipped:angry_gilded_blackstone","1,50","6,00"
"Chipped","chipped:angry_granite","1,50","6,00"
"Chipped","chipped:angry_ice","0,50","0,50"
"Chipped","chipped:angry_lapis_block","3,00","3,00"
"Chipped","chipped:angry_lodestone","3,50","3,50"
"Chipped","chipped:angry_magma_block","0,50","0,50"
"Chipped","chipped:angry_mossy_cobblestone","2,00","6,00"
"Chipped","chipped:angry_mossy_stone_bricks","1,50","6,00"
"Chipped","chipped:angry_mud","0,50","0,50"
"Chipped","chipped:angry_mud_bricks","1,50","3,00"
"Chipped","chipped:angry_nether_bricks","2,00","6,00"
"Chipped","chipped:angry_netherrack","0,40","0,40"
"Chipped","chipped:angry_obsidian","50,00","1200,00"
"Chipped","chipped:angry_packed_ice","0,50","0,50"
"Chipped","chipped:angry_packed_mud","1,00","3,00"
"Chipped","chipped:angry_prismarine","1,50","6,00"
"Chipped","chipped:angry_purpur_block","1,50","6,00"
"Chipped","chipped:angry_quartz_block","0,80","0,80"
"Chipped","chipped:angry_raw_copper_block","5,00","6,00"
"Chipped","chipped:angry_raw_gold_block","5,00","6,00"
"Chipped","chipped:angry_raw_iron_block","5,00","6,00"
"Chipped","chipped:angry_red_nether_bricks","2,00","6,00"
"Chipped","chipped:angry_red_sandstone","0,80","0,80"
"Chipped","chipped:angry_redstone_block","5,00","6,00"
"Chipped","chipped:angry_sandstone","0,80","0,80"
"Chipped","chipped:angry_smooth_stone","2,00","6,00"
"Chipped","chipped:angry_snow_block","0,20","0,20"
"Chipped","chipped:angry_stone","1,50","6,00"
"Chipped","chipped:angry_tuff","1,50","6,00"
"Chipped","chipped:anguished_carved_pumpkin","1,00","1,00"
"Chipped","chipped:anguished_jack_o_lantern","1,00","1,00"
"Chipped","chipped:antique_hay_block","0,50","0,50"
"Chipped","chipped:apple_acacia_leaves","0,20","0,20"
"Chipped","chipped:apple_birch_leaves","0,20","0,20"
"Chipped","chipped:apple_dark_oak_leaves","0,20","0,20"
"Chipped","chipped:apple_jungle_leaves","0,20","0,20"
"Chipped","chipped:apple_oak_leaves","0,20","0,20"
"Chipped","chipped:apple_spruce_leaves","0,20","0,20"
"Chipped","chipped:arched_black_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_black_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_blue_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_blue_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_brown_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_brown_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_cyan_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_cyan_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_gray_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_gray_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_green_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_green_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_leaded_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_leaded_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_light_blue_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_light_blue_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_light_gray_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_light_gray_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_lime_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_lime_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_magenta_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_magenta_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_orange_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_orange_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_pink_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_pink_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_purple_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_purple_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_red_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_red_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_white_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_white_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arched_yellow_stained_glass_pane_pillar","0,30","0,30"
"Chipped","chipped:arched_yellow_stained_glass_pillar","0,30","0,30"
"Chipped","chipped:arrow_mud","0,50","0,50"
"Chipped","chipped:arrow_mud_bricks","1,50","3,00"
"Chipped","chipped:arrow_packed_mud","1,00","3,00"
"Chipped","chipped:ash_sand","0,50","0,50"
"Chipped","chipped:autumnkin","1,00","1,00"
"Chipped","chipped:bad_time_carved_pumpkin","1,00","1,00"
"Chipped","chipped:bad_time_jack_o_lantern","1,00","1,00"
"Chipped","chipped:bamboo_barrel","2,50","2,50"
"Chipped","chipped:bamboo_dried_kelp_block","0,50","2,50"
"Chipped","chipped:bamboo_planks_fine_mosaic","2,00","3,00"
"Chipped","chipped:bamboo_planks_panel","2,00","3,00"
"Chipped","chipped:bamboo_planks_shavings","2,00","3,00"
"Chipped","chipped:barbed_iron_bars","5,00","6,00"
"Chipped","chipped:barky_black_carpet","0,10","0,10"
"Chipped","chipped:barky_black_wool","0,80","0,80"
"Chipped","chipped:barky_blue_carpet","0,10","0,10"
"Chipped","chipped:barky_blue_wool","0,80","0,80"
"Chipped","chipped:barky_brown_carpet","0,10","0,10"
"Chipped","chipped:barky_brown_wool","0,80","0,80"
"Chipped","chipped:barky_cyan_carpet","0,10","0,10"
"Chipped","chipped:barky_cyan_wool","0,80","0,80"
"Chipped","chipped:barky_gray_carpet","0,10","0,10"
"Chipped","chipped:barky_gray_wool","0,80","0,80"
"Chipped","chipped:barky_green_carpet","0,10","0,10"
"Chipped","chipped:barky_green_wool","0,80","0,80"
"Chipped","chipped:barky_light_blue_carpet","0,10","0,10"
"Chipped","chipped:barky_light_blue_wool","0,80","0,80"
"Chipped","chipped:barky_light_gray_carpet","0,10","0,10"
"Chipped","chipped:barky_light_gray_wool","0,80","0,80"
"Chipped","chipped:barky_lime_carpet","0,10","0,10"
"Chipped","chipped:barky_lime_wool","0,80","0,80"
"Chipped","chipped:barky_magenta_carpet","0,10","0,10"
"Chipped","chipped:barky_magenta_wool","0,80","0,80"
"Chipped","chipped:barky_orange_carpet","0,10","0,10"
"Chipped","chipped:barky_orange_wool","0,80","0,80"
"Chipped","chipped:barky_pink_carpet","0,10","0,10"
"Chipped","chipped:barky_pink_wool","0,80","0,80"
"Chipped","chipped:barky_purple_carpet","0,10","0,10"
"Chipped","chipped:barky_purple_wool","0,80","0,80"
"Chipped","chipped:barky_red_carpet","0,10","0,10"
"Chipped","chipped:barky_red_wool","0,80","0,80"
"Chipped","chipped:barky_white_carpet","0,10","0,10"
"Chipped","chipped:barky_white_wool","0,80","0,80"
"Chipped","chipped:barky_yellow_carpet","0,10","0,10"
"Chipped","chipped:barky_yellow_wool","0,80","0,80"
"Chipped","chipped:barred_acacia_trapdoor","3,00","3,00"
"Chipped","chipped:barred_bamboo_door","3,00","3,00"
"Chipped","chipped:barred_bamboo_trapdoor","3,00","3,00"
"Chipped","chipped:barred_birch_door","3,00","3,00"
"Chipped","chipped:barred_birch_trapdoor","3,00","3,00"
"Chipped","chipped:barred_cherry_door","3,00","3,00"
"Chipped","chipped:barred_cherry_trapdoor","3,00","3,00"
"Chipped","chipped:barred_crimson_door","3,00","3,00"
"Chipped","chipped:barred_crimson_trapdoor","3,00","3,00"
"Chipped","chipped:barred_dark_oak_door","3,00","3,00"
"Chipped","chipped:barred_dark_oak_trapdoor","3,00","3,00"
"Chipped","chipped:barred_jungle_door","3,00","3,00"
"Chipped","chipped:barred_jungle_trapdoor","3,00","3,00"
"Chipped","chipped:barred_mangrove_door","3,00","3,00"
"Chipped","chipped:barred_mangrove_trapdoor","3,00","3,00"
"Chipped","chipped:barred_oak_door","3,00","3,00"
"Chipped","chipped:barred_oak_trapdoor","3,00","3,00"
"Chipped","chipped:barred_ochre_froglight","0,30","0,30"
"Chipped","chipped:barred_pearlescent_froglight","0,30","0,30"
"Chipped","chipped:barred_spruce_door","3,00","3,00"
"Chipped","chipped:barred_spruce_trapdoor","3,00","3,00"
"Chipped","chipped:barred_verdant_froglight","0,30","0,30"
"Chipped","chipped:barred_warped_door","3,00","3,00"
"Chipped","chipped:barred_warped_trapdoor","3,00","3,00"
"Chipped","chipped:basalt_bricks","1,25","4,20"
"Chipped","chipped:basalt_mini_tiles","1,25","4,20"
"Chipped","chipped:basalt_pillar","1,25","4,20"
"Chipped","chipped:basalt_pillar_top","1,25","4,20"
"Chipped","chipped:basalt_pointed_dripstone","1,50","3,00"
"Chipped","chipped:basalt_scales","1,25","4,20"
"Chipped","chipped:basket_woven_acacia_planks","2,00","3,00"
"Chipped","chipped:basket_woven_bamboo_planks","2,00","3,00"
"Chipped","chipped:basket_woven_birch_planks","2,00","3,00"
"Chipped","chipped:basket_woven_cherry_planks","2,00","3,00"
"Chipped","chipped:basket_woven_crimson_planks","2,00","3,00"
"Chipped","chipped:basket_woven_dark_oak_planks","2,00","3,00"
"Chipped","chipped:basket_woven_jungle_planks","2,00","3,00"
"Chipped","chipped:basket_woven_mangrove_planks","2,00","3,00"
"Chipped","chipped:basket_woven_oak_planks","2,00","3,00"
"Chipped","chipped:basket_woven_spruce_planks","2,00","3,00"
"Chipped","chipped:basket_woven_warped_planks","2,00","3,00"
"Chipped","chipped:beach_acacia_door","3,00","3,00"
"Chipped","chipped:beach_bamboo_door","3,00","3,00"
"Chipped","chipped:beach_birch_door","3,00","3,00"
"Chipped","chipped:beach_cherry_door","3,00","3,00"
"Chipped","chipped:beach_crimson_door","3,00","3,00"
"Chipped","chipped:beach_dark_oak_door","3,00","3,00"
"Chipped","chipped:beach_mangrove_door","3,00","3,00"
"Chipped","chipped:beach_oak_door","3,00","3,00"
"Chipped","chipped:beach_spruce_door","3,00","3,00"
"Chipped","chipped:beach_warped_door","3,00","3,00"
"Chipped","chipped:big_flower_lily_pad","0,00","0,00"
"Chipped","chipped:big_lantern","3,50","3,50"
"Chipped","chipped:big_soul_lantern","3,50","3,50"
"Chipped","chipped:birch_barrel","2,50","2,50"
"Chipped","chipped:birch_crate","2,50","2,50"
"Chipped","chipped:birch_planks_mosaic","2,00","3,00"
"Chipped","chipped:birch_planks_panel","2,00","3,00"
"Chipped","chipped:birch_planks_shavings","2,00","3,00"
"Chipped","chipped:birch_torch","0,00","0,00"
"Chipped","chipped:birch_wall_torch","0,00","0,00"
"Chipped","chipped:black_concrete_bricks","1,80","1,80"
"Chipped","chipped:black_concrete_panel","1,80","1,80"
"Chipped","chipped:black_concrete_pillar","1,80","1,80"
"Chipped","chipped:black_concrete_tiles","1,80","1,80"
"Chipped","chipped:black_glazed_terracotta_pillar_sides","1,40","1,40"
"Chipped","chipped:black_glazed_terracotta_pillar_top","1,40","1,40"
"Chipped","chipped:black_glazed_terracotta_smooth_tiles","1,40","1,40"
"Chipped","chipped:black_glazed_terracotta_tiles","1,40","1,40"
"Chipped","chipped:black_terracotta_bricks","1,25","4,20"
"Chipped","chipped:black_terracotta_column","1,25","4,20"
"Chipped","chipped:black_terracotta_pillar","1,25","4,20"
"Chipped","chipped:black_terracotta_tile","1,25","4,20"
"Chipped","chipped:black_terracotta_tiles","1,25","4,20"
"Chipped","chipped:blackstone_mini_tiles","1,50","6,00"
"Chipped","chipped:blackstone_pillar","1,50","6,00"
"Chipped","chipped:blackstone_pillar_top","1,50","6,00"
"Chipped","chipped:blackstone_pointed_dripstone","1,50","3,00"
"Chipped","chipped:blackstone_scales","1,50","6,00"
"Chipped","chipped:blank_amethyst_block_carving","1,50","1,50"
"Chipped","chipped:blank_ancient_debris_carving","30,00","1200,00"
"Chipped","chipped:blank_andesite_carving","1,50","6,00"
"Chipped","chipped:blank_basalt_carving","1,25","4,20"
"Chipped","chipped:blank_blackstone_carving","1,50","6,00"
"Chipped","chipped:blank_blue_ice_carving","2,80","2,80"
"Chipped","chipped:blank_borderless_bricks_carving","2,00","6,00"
"Chipped","chipped:blank_bricks_carving","2,00","6,00"
"Chipped","chipped:blank_calcite_carving","0,75","0,75"
"Chipped","chipped:blank_clay_carving","0,60","0,60"
"Chipped","chipped:blank_coal_block_carving","5,00","6,00"
"Chipped","chipped:blank_cobblestone_carving","2,00","6,00"
"Chipped","chipped:blank_crying_obsidian_carving","50,00","1200,00"
"Chipped","chipped:blank_dark_prismarine_carving","1,50","6,00"
"Chipped","chipped:blank_deepslate_carving","3,00","6,00"
"Chipped","chipped:blank_diorite_carving","1,50","6,00"
"Chipped","chipped:blank_dirt_carving","0,50","0,50"
"Chipped","chipped:blank_dripstone_block_carving","1,50","1,00"
"Chipped","chipped:blank_end_stone_carving","3,00","9,00"
"Chipped","chipped:blank_gilded_blackstone_carving","1,50","6,00"
"Chipped","chipped:blank_granite_carving","1,50","6,00"
"Chipped","chipped:blank_ice_carving","0,50","0,50"
"Chipped","chipped:blank_lapis_block_carving","3,00","3,00"
"Chipped","chipped:blank_lodestone_carving","3,50","3,50"
"Chipped","chipped:blank_lodestone_side","3,50","3,50"
"Chipped","chipped:blank_magma_block_carving","0,50","0,50"
"Chipped","chipped:blank_mossy_cobblestone_carving","2,00","6,00"
"Chipped","chipped:blank_mossy_stone_bricks_carving","1,50","6,00"
"Chipped","chipped:blank_nether_bricks_carving","2,00","6,00"
"Chipped","chipped:blank_netherrack_carving","0,40","0,40"
"Chipped","chipped:blank_obsidian_carving","50,00","1200,00"
"Chipped","chipped:blank_packed_ice_carving","0,50","0,50"
"Chipped","chipped:blank_prismarine_carving","1,50","6,00"
"Chipped","chipped:blank_purpur_block_carving","1,50","6,00"
"Chipped","chipped:blank_quartz_block_carving","0,80","0,80"
"Chipped","chipped:blank_raw_copper_block_carving","5,00","6,00"
"Chipped","chipped:blank_raw_gold_block_carving","5,00","6,00"
"Chipped","chipped:blank_raw_iron_block_carving","5,00","6,00"
"Chipped","chipped:blank_red_nether_bricks_carving","2,00","6,00"
"Chipped","chipped:blank_red_sandstone_carving","0,80","0,80"
"Chipped","chipped:blank_redstone_block_carving","5,00","6,00"
"Chipped","chipped:blank_sandstone_carving","0,80","0,80"
"Chipped","chipped:blank_smooth_stone_carving","2,00","6,00"
"Chipped","chipped:blank_snow_block_carving","0,20","0,20"
"Chipped","chipped:blank_stone_carving","1,50","6,00"
"Chipped","chipped:blank_tuff_carving","1,50","6,00"
