"Mod name","Registry name","Item ID","Display name","Tags"
"Chipped","chipped:acacia_barrel","chipped:acacia_barrel","Acacia Barrel","artifacts:mineable/digging_claws, minecraft:mineable/axe, chipped:barrel"
"Chipped","chipped:acacia_crate","chipped:acacia_crate","Acacia Crate","artifacts:mineable/digging_claws, minecraft:mineable/axe, chipped:barrel"
"Chipped","chipped:acacia_planks_mosaic","chipped:acacia_planks_mosaic","Acacia Planks Mosaic","via_romana:path_block, c:grass_soil, minecraft:mineable/axe, artifacts:mineable/digging_claws, minecraft:planks, chipped:acacia_planks"
"Chipped","chipped:acacia_planks_panel","chipped:acacia_planks_panel","Acacia Planks Panel","via_romana:path_block, c:grass_soil, minecraft:mineable/axe, artifacts:mineable/digging_claws, minecraft:planks, chipped:acacia_planks"
"Chipped","chipped:acacia_planks_shavings","chipped:acacia_planks_shavings","Acacia Planks Shavings","via_romana:path_block, c:grass_soil, minecraft:mineable/axe, artifacts:mineable/digging_claws, minecraft:planks, chipped:acacia_planks"
"Chipped","chipped:acacia_torch","chipped:acacia_torch","Acacia Torch","minecraft:wall_post_override, chipped:torch"
"Chipped","chipped:acacia_wall_torch","chipped:acacia_torch","Acacia Torch","via_romana:path_block"
"Chipped","chipped:ad_astra_ochre_froglight","chipped:ad_astra_ochre_froglight","Ad Astra Ochre Froglight","chipped:ochre_froglight"
"Chipped","chipped:ad_astra_pearlescent_froglight","chipped:ad_astra_pearlescent_froglight","Ad Astra Pearlescent Froglight","chipped:pearlescent_froglight"
"Chipped","chipped:ad_astra_verdant_froglight","chipped:ad_astra_verdant_froglight","Ad Astra Verdant Froglight","chipped:verdant_froglight"
"Chipped","chipped:airy_birch_trapdoor","chipped:airy_birch_trapdoor","Airy Birch Trapdoor","chipped:birch_trapdoor, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:trapdoors"
"Chipped","chipped:airy_crimson_trapdoor","chipped:airy_crimson_trapdoor","Airy Crimson Trapdoor","artifacts:mineable/digging_claws, chipped:crimson_trapdoor, minecraft:mineable/axe, minecraft:trapdoors"
"Chipped","chipped:airy_dark_oak_trapdoor","chipped:airy_dark_oak_trapdoor","Airy Dark Oak Trapdoor","chipped:dark_oak_trapdoor, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:trapdoors"
"Chipped","chipped:airy_jungle_trapdoor","chipped:airy_jungle_trapdoor","Airy Jungle Trapdoor","artifacts:mineable/digging_claws, minecraft:mineable/axe, chipped:jungle_trapdoor, minecraft:trapdoors"
"Chipped","chipped:airy_mangrove_trapdoor","chipped:airy_mangrove_trapdoor","Airy Mangrove Trapdoor","chipped:mangrove_trapdoor, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:trapdoors"
"Chipped","chipped:airy_oak_trapdoor","chipped:airy_oak_trapdoor","Airy Oak Trapdoor","chipped:oak_trapdoor, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:trapdoors"
"Chipped","chipped:airy_spruce_trapdoor","chipped:airy_spruce_trapdoor","Airy Spruce Trapdoor","chipped:spruce_trapdoor, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:trapdoors"
"Chipped","chipped:airy_warped_trapdoor","chipped:airy_warped_trapdoor","Airy Warped Trapdoor","artifacts:mineable/digging_claws, minecraft:mineable/axe, chipped:warped_trapdoor, minecraft:trapdoors"
"Chipped","chipped:alchemy_bench","chipped:alchemy_bench","Alchemy Bench","minecraft:mineable/axe, artifacts:mineable/digging_claws"
"Chipped","chipped:amethyst_block_bricks","chipped:amethyst_block_bricks","Amethyst Block Bricks","via_romana:path_block, minecraft:mineable/pickaxe, c:mineable/hammer, artifacts:mineable/digging_claws, chipped:amethyst_block"
"Chipped","chipped:amethyst_block_mini_tiles","chipped:amethyst_block_mini_tiles","Amethyst Block Mini Tiles","via_romana:path_block, minecraft:mineable/pickaxe, c:mineable/hammer, artifacts:mineable/digging_claws, chipped:amethyst_block"
"Chipped","chipped:amethyst_block_pillar","chipped:amethyst_block_pillar","Amethyst Block Pillar","c:mineable/hammer, minecraft:mineable/pickaxe, artifacts:mineable/digging_claws, chipped:amethyst_block"
