"Command","Class"
"advancement","-"
"ae2","-"
"ae2guide","-"
"attribute","-"
"balm","-"
"bclib","-"
"be","-"
"biolith","com.terraformersmc.biolith.impl.commands.BiolithCommands$$Lambda/0x0000023030a60450"
"bn","-"
"bookshelf","-"
"bossbar","-"
"c2me","-"
"chunky","org.popcraft.chunky.ChunkyFabric$$Lambda/0x0000023030a62358"
"chunky-extend","net.fabricmc.chunky_extended.command.Commands$$Lambda/0x0000023030a63288"
"clear","net.minecraft.class_3020$$Lambda/0x0000023030a01810"
"clone","-"
"cmdclientconfig","team.creative.creativecore.client.CreativeCoreClient$$Lambda/0x0000023030aabc90"
"cmdconfig","team.creative.creativecore.CreativeCore$$Lambda/0x0000023030c06870"
"collective","com.natamus.collective_common_fabric.cmds.CommandCollective$$Lambda/0x0000023030a63f90"
"configure_update","-"
"damage","-"
"data","-"
"datapack","-"
"debug","-"
"defaultgamemode","-"
"difficulty","net.minecraft.class_3036$$Lambda/0x0000023030a0fac0"
"dumpstructuresets","io.github.maxencedc.sparsestructures.command.DumpStructureSetsCommand$$Lambda/0x0000023030a81ef0"
"effect","-"
"emi","-"
"enchant","-"
"end_island","-"
"execute","-"
"experience","-"
"extshape:check-conflict","pers.solid.extshape.RecipeConflict$$Lambda/0x0000023030a65c10"
"fill","-"
"fillbiome","-"
"forceload","-"
"frozenlib_config","-"
"function","-"
"gamemode","-"
"gamerule","-"
"give","-"
"graves","eu.pb4.graves.other.Commands$$Lambda/0x0000023030aa7810"
"help","net.minecraft.class_3069$$Lambda/0x0000023030a1ab98"
"item","-"
"jade","-"
"jfr","-"
"kambrik","-"
"kick","-"
"kill","net.minecraft.class_3075$$Lambda/0x0000023030a1f3a8"
"kiwi","-"
"list","net.minecraft.class_3078$$Lambda/0x0000023030a1fa08"
"locate","-"
"lode","-"
"lodestone","-"
"loot","-"
"lootr","net.zestyblaze.lootr.command.CommandLootr$$Lambda/0x0000023030a75390"
"me","-"
"modernfix","-"
"msg","-"
"msg_team","-"
"particle","-"
"place","-"
"playsound","-"
"polymer","eu.pb4.polymer.common.impl.CommonCommands$$Lambda/0x0000023030aac6f8"
"porting_lib","-"
"publish","net.minecraft.class_3093$$Lambda/0x0000023030a4f3e0"
"recipe","-"
"reload","net.minecraft.class_3097$$Lambda/0x0000023030a2a950"
"return","-"
"ride","-"
"say","-"
"sbp","-"
"schedule","-"
"scoreboard","-"
"screenshake","-"
"season","-"
"seed","net.minecraft.class_3118$$Lambda/0x0000023030a324e0"
"setblock","-"
"setworldspawn","net.minecraft.class_3128$$Lambda/0x0000023030a34580"
"sophisticatedbackpacks","-"
"sparkweave","-"
"spawnpoint","net.minecraft.class_3127$$Lambda/0x0000023030a33878"
"spc_teams","-"
"spc_teams_sysadmin","-"
"spectate","net.minecraft.class_4694$$Lambda/0x0000023030a352a8"
"spiceoffabric:clear_history","de.siphalor.spiceoffabric.server.SOFCommands$$Lambda/0x0000023030a82118"
"spiceoffabric:set_base_max_health","-"
"spiceoffabric:update_max_health","de.siphalor.spiceoffabric.server.SOFCommands$$Lambda/0x0000023030a829b8"
"spreadplayers","-"
"stopsound","-"
"summon","-"
"supp","-"
"supplementaries","-"
"tag","-"
"taglist","-"
"team","-"
"teammsg","-"
"teleport","-"
"tell","-"
"tellme","-"
"tellraw","-"
"test","-"
"thermoo","-"
"thirst","-"
"time","-"
"title","-"
"tm","-"
"tp","-"
"treechop","-"
"trigger","-"
"trinkets","-"
"trmt","-"
"viaromana","-"
"villagernames","com.natamus.villagernames_common_fabric.cmds.CommandVillagernames$$Lambda/0x0000023030aab3f0"
"w","-"
"waystones","-"
"weather","-"
"wind","-"
"wine","-"
"worldborder","-"
"xp","-"
