"Registry name","Name","Max lvl","Target","Rarity","ID"
"betterend:end_veil","enchantment.betterend.end_veil","1","ARMOR_HEAD","VERY_RARE (1)",41
"betternether:obsidian_breaker","enchantment.betternether.obsidian_breaker","3","DIGGER","VERY_RARE (1)",39
"betternether:ruby_fire","enchantment.betternether.ruby_fire","1","BREAKABLE","VERY_RARE (1)",40
"combatroll:acrobat","enchantment.combatroll.acrobat","10","WEARABLE","RARE (2)",43
"combatroll:longfooted","enchantment.combatroll.longfooted","5","ARMOR_FEET","RARE (2)",42
"combatroll:multi_roll","enchantment.combatroll.multi_roll","4","ARMOR_HEAD","VERY_RARE (1)",44
"farmersdelight:backstabbing","enchantment.farmersdelight.backstabbing","3","WEAPON","UNCOMMON (5)",45
"galosphere:enfeeble","enchantment.galosphere.enfeeble","1","GALOSPHERE_SALTBOUND_TABLET","VERY_RARE (1)",46
"galosphere:rupture","enchantment.galosphere.rupture","3","GALOSPHERE_SALTBOUND_TABLET","VERY_RARE (1)",48
"galosphere:sifting","enchantment.galosphere.sifting","3","GALOSPHERE_BRUSH","VERY_RARE (1)",49
"galosphere:sustain","enchantment.galosphere.sustain","3","GALOSPHERE_SALTBOUND_TABLET","VERY_RARE (1)",47
"grapplemod:double_jump","enchantment.grapplemod.double_jump","1","ARMOR_FEET","RARE (2)",51
"grapplemod:sliding","enchantment.grapplemod.sliding","1","ARMOR_FEET","UNCOMMON (5)",52
"grapplemod:wall_running","enchantment.grapplemod.wall_running","1","ARMOR_FEET","RARE (2)",50
"minecraft:aqua_affinity","enchantment.minecraft.aqua_affinity","1","ARMOR_HEAD","RARE (2)",6
"minecraft:bane_of_arthropods","enchantment.minecraft.bane_of_arthropods","5","WEAPON","UNCOMMON (5)",15
"minecraft:binding_curse","enchantment.minecraft.binding_curse","1","WEARABLE","VERY_RARE (1)",10
"minecraft:blast_protection","enchantment.minecraft.blast_protection","4","ARMOR","RARE (2)",3
"minecraft:channeling","enchantment.minecraft.channeling","1","TRIDENT","VERY_RARE (1)",33
"minecraft:depth_strider","enchantment.minecraft.depth_strider","3","ARMOR_FEET","RARE (2)",8
"minecraft:efficiency","enchantment.minecraft.efficiency","5","DIGGER","COMMON (10)",20
"minecraft:feather_falling","enchantment.minecraft.feather_falling","4","ARMOR_FEET","UNCOMMON (5)",2
"minecraft:fire_aspect","enchantment.minecraft.fire_aspect","2","WEAPON","RARE (2)",17
"minecraft:fire_protection","enchantment.minecraft.fire_protection","4","ARMOR","UNCOMMON (5)",1
"minecraft:flame","enchantment.minecraft.flame","1","BOW","RARE (2)",26
"minecraft:fortune","enchantment.minecraft.fortune","3","DIGGER","RARE (2)",23
"minecraft:frost_walker","enchantment.minecraft.frost_walker","2","ARMOR_FEET","RARE (2)",9
