"Registry name","Translation key","Default","Tracked"
"betterend:generic.blindness_resistance","attribute.name.generic.blindness_resistance",0.0,"true"
"combatroll:count","attribute.name.combat_roll.count",1.0,"true"
"combatroll:distance","attribute.name.combat_roll.distance",3.0,"true"
"combatroll:recharge","attribute.name.combat_roll.recharge",20.0,"true"
"creeperoverhaul:reach_distance","generic.reach_distance",5.0,"true"
"creeperoverhaul:swim_speed","generic.swim_speed",1.0,"true"
"galosphere:illager_resistance","attribute.name.generic.illager_resistance",0.0,"false"
"lodestone:magic_damage","attribute.name.lodestone.magic_damage",0.0,"true"
"lodestone:magic_proficiency","attribute.name.lodestone.magic_proficiency",0.0,"true"
"lodestone:magic_resistance","attribute.name.lodestone.magic_resistance",0.0,"true"
"minecraft:generic.armor","attribute.name.generic.armor",0.0,"true"
"minecraft:generic.armor_toughness","attribute.name.generic.armor_toughness",0.0,"true"
"minecraft:generic.attack_damage","attribute.name.generic.attack_damage",2.0,"true"
"minecraft:generic.attack_knockback","attribute.name.generic.attack_knockback",0.0,"false"
"minecraft:generic.attack_speed","attribute.name.generic.attack_speed",4.0,"true"
"minecraft:generic.flying_speed","attribute.name.generic.flying_speed",0.4000000059604645,"true"
"minecraft:generic.follow_range","attribute.name.generic.follow_range",32.0,"false"
"minecraft:generic.knockback_resistance","attribute.name.generic.knockback_resistance",0.0,"false"
"minecraft:generic.luck","attribute.name.generic.luck",0.0,"true"
"minecraft:generic.max_health","attribute.name.generic.max_health",20.0,"true"
"minecraft:generic.movement_speed","attribute.name.generic.movement_speed",0.699999988079071,"true"
"minecraft:horse.jump_strength","attribute.name.horse.jump_strength",0.7,"true"
"minecraft:zombie.spawn_reinforcements","attribute.name.zombie.spawn_reinforcements",0.0,"false"
"more_rpg_classes:air_fuse_modifier","attribute.name.generic.more_rpg_classes.air_fuse_modifier",100.0,"true"
"more_rpg_classes:arcane_fuse_modifier","attribute.name.generic.more_rpg_classes.arcane_fuse_modifier",100.0,"true"
"more_rpg_classes:armor_piercing","attribute.name.generic.more_rpg_classes.armor_piercing",100.0,"true"
"more_rpg_classes:bleeding_chance","attribute.name.generic.more_rpg_classes.bleeding_chance",100.0,"true"
"more_rpg_classes:burning_chance","attribute.name.generic.more_rpg_classes.burning_chance",100.0,"true"
"more_rpg_classes:damage_reflect_modifier","attribute.name.generic.more_rpg_classes.damage_reflect_modifier",100.0,"true"
"more_rpg_classes:damage_taken","attribute.name.generic.more_rpg_classes.damage_taken",100.0,"true"
"more_rpg_classes:earth_fuse_modifier","attribute.name.generic.more_rpg_classes.earth_fuse_modifier",100.0,"true"
"more_rpg_classes:fire_fuse_modifier","attribute.name.generic.more_rpg_classes.fire_fuse_modifier",100.0,"true"
"more_rpg_classes:freeze_chance","attribute.name.generic.more_rpg_classes.freeze_chance",100.0,"true"
"more_rpg_classes:frost_fuse_modifier","attribute.name.generic.more_rpg_classes.frost_fuse_modifier",100.0,"true"
"more_rpg_classes:healing_fuse_modifier","attribute.name.generic.more_rpg_classes.healing_fuse_modifier",100.0,"true"
"more_rpg_classes:healing_taken","attribute.name.generic.more_rpg_classes.healing_taken",100.0,"true"
"more_rpg_classes:lifesteal_modifier","attribute.name.generic.more_rpg_classes.lifesteal_modifier",100.0,"true"
"more_rpg_classes:poison_chance","attribute.name.generic.more_rpg_classes.poison_chance",100.0,"true"
"more_rpg_classes:rage_modifier","attribute.name.generic.more_rpg_classes.rage_modifier",100.0,"true"
"more_rpg_classes:spell_vampire","attribute.name.generic.more_rpg_classes.spell_vampire",100.0,"true"
"more_rpg_classes:stagger_chance","attribute.name.generic.more_rpg_classes.stagger_chance",100.0,"true"
"more_rpg_classes:stun_chance","attribute.name.generic.more_rpg_classes.stun_chance",100.0,"true"
"more_rpg_classes:tenacity","attribute.name.generic.more_rpg_classes.tenacity",100.0,"true"
"more_rpg_classes:water_fuse_modifier","attribute.name.generic.more_rpg_classes.water_fuse_modifier",100.0,"true"
"porting_lib:entity_gravity","porting_lib.entity_gravity",0.08,"true"
"porting_lib:step_height_addition","porting_lib.step_height",0.0,"true"
"porting_lib:swim_speed","porting_lib.swim_speed",1.0,"true"
