"Name","Block"
"decorative_blocks:flowing_thatch","decorative_blocks:thatch"
"decorative_blocks:thatch","decorative_blocks:thatch"
"dehydration:purified_flowing_water","dehydration:purified_water"
"dehydration:purified_water","dehydration:purified_water"
"functionalstorage:milk","-"
"functionalstorage:milk_flowing","-"
"minecraft:empty","-"
"minecraft:flowing_lava","minecraft:lava"
"minecraft:flowing_water","minecraft:water"
"minecraft:lava","minecraft:lava"
"minecraft:water","minecraft:water"
"sophisticatedcore:xp_flowing","-"
"sophisticatedcore:xp_still","-"
"supplementaries:lumisene","supplementaries:lumisene"
