"Mod name","Registry name","Item ID","Display name","Recipe name","Tags"
"Chipped","chipped:alchemy_bench",5088,"Alchemy Bench","chipped:benches/alchemy_bench",""
"Chipped","chipped:botanist_workbench",5083,"Botanist Workbench","chipped:benches/botanist_workbench",""
"Chipped","chipped:carpenters_table",5085,"Carpenters Table","chipped:benches/carpenters_table",""
"Chipped","chipped:glassblower",5084,"Glassblower","chipped:benches/glassblower",""
"Chipped","chipped:loom_table",5086,"Loom Table","chipped:benches/loom_table",""
"Chipped","chipped:mason_table",5087,"Mason Table","chipped:benches/mason_table",""
"Chipped","chipped:tinkering_table",5089,"Tinkering Table","chipped:benches/mechanist_workbench",""
"Minecraft","handcrafted:black_cushion",20903,"Black Cushion","minecraft:black_cushion_from_black_dye","handcrafted:cushions"
"Minecraft","handcrafted:black_sheet",20919,"Black Sheet","minecraft:black_sheet_from_black_dye","handcrafted:sheets"
"Minecraft","handcrafted:blue_cushion",20904,"Blue Cushion","minecraft:blue_cushion_from_blue_dye","handcrafted:cushions"
"Minecraft","handcrafted:blue_sheet",20920,"Blue Sheet","minecraft:blue_sheet_from_blue_dye","handcrafted:sheets"
"Minecraft","handcrafted:brown_cushion",20905,"Brown Cushion","minecraft:brown_cushion_from_brown_dye","handcrafted:cushions"
"Minecraft","handcrafted:brown_sheet",20921,"Brown Sheet","minecraft:brown_sheet_from_brown_dye","handcrafted:sheets"
"Minecraft","handcrafted:cyan_cushion",20906,"Cyan Cushion","minecraft:cyan_cushion_from_cyan_dye","handcrafted:cushions"
"Minecraft","handcrafted:cyan_sheet",20922,"Cyan Sheet","minecraft:cyan_sheet_from_cyan_dye","handcrafted:sheets"
"Minecraft","handcrafted:gray_cushion",20907,"Gray Cushion","minecraft:gray_cushion_from_gray_dye","handcrafted:cushions"
"Minecraft","handcrafted:gray_sheet",20923,"Gray Sheet","minecraft:gray_sheet_from_gray_dye","handcrafted:sheets"
"Minecraft","handcrafted:green_cushion",20908,"Green Cushion","minecraft:green_cushion_from_green_dye","handcrafted:cushions"
"Minecraft","handcrafted:green_sheet",20924,"Green Sheet","minecraft:green_sheet_from_green_dye","handcrafted:sheets"
"Minecraft","handcrafted:light_blue_cushion",20909,"Light Blue Cushion","minecraft:light_blue_cushion_from_light_blue_dye","handcrafted:cushions"
"Minecraft","handcrafted:light_blue_sheet",20925,"Light Blue Sheet","minecraft:light_blue_sheet_from_light_blue_dye","handcrafted:sheets"
"Minecraft","handcrafted:light_gray_cushion",20910,"Light Gray Cushion","minecraft:light_gray_cushion_from_light_gray_dye","handcrafted:cushions"
"Minecraft","handcrafted:light_gray_sheet",20926,"Light Gray Sheet","minecraft:light_gray_sheet_from_light_gray_dye","handcrafted:sheets"
"Minecraft","handcrafted:lime_cushion",20911,"Lime Cushion","minecraft:lime_cushion_from_lime_dye","handcrafted:cushions"
"Minecraft","handcrafted:lime_sheet",20927,"Lime Sheet","minecraft:lime_sheet_from_lime_dye","handcrafted:sheets"
"Minecraft","handcrafted:magenta_cushion",20912,"Magenta Cushion","minecraft:magenta_cushion_from_magenta_dye","handcrafted:cushions"
"Minecraft","handcrafted:magenta_sheet",20928,"Magenta Sheet","minecraft:magenta_sheet_from_magenta_dye","handcrafted:sheets"
"Minecraft","handcrafted:orange_cushion",20913,"Orange Cushion","minecraft:orange_cushion_from_orange_dye","handcrafted:cushions"
"Minecraft","handcrafted:orange_sheet",20929,"Orange Sheet","minecraft:orange_sheet_from_orange_dye","handcrafted:sheets"
"Minecraft","handcrafted:pink_cushion",20914,"Pink Cushion","minecraft:pink_cushion_from_pink_dye","handcrafted:cushions"
"Minecraft","handcrafted:pink_sheet",20930,"Pink Sheet","minecraft:pink_sheet_from_pink_dye","handcrafted:sheets"
"Minecraft","handcrafted:purple_cushion",20915,"Purple Cushion","minecraft:purple_cushion_from_purple_dye","handcrafted:cushions"
"Minecraft","handcrafted:purple_sheet",20931,"Purple Sheet","minecraft:purple_sheet_from_purple_dye","handcrafted:sheets"
"Minecraft","handcrafted:red_cushion",20916,"Red Cushion","minecraft:red_cushion_from_red_dye","handcrafted:cushions"
"Minecraft","handcrafted:red_sheet",20932,"Red Sheet","minecraft:red_sheet_from_red_dye","handcrafted:sheets"
"Minecraft","handcrafted:white_cushion",20917,"White Cushion","minecraft:white_cushion_from_white_dye","handcrafted:cushions"
"Minecraft","handcrafted:white_sheet",20933,"White Sheet","minecraft:white_sheet_from_white_dye","handcrafted:sheets"
"Minecraft","handcrafted:yellow_cushion",20918,"Yellow Cushion","minecraft:yellow_cushion_from_yellow_dye","handcrafted:cushions"
"Minecraft","handcrafted:yellow_sheet",20934,"Yellow Sheet","minecraft:yellow_sheet_from_yellow_dye","handcrafted:sheets"
"Minecraft","lilis_lucky_lures:cooked_cod_meal",22173,"Cooked Cod Meal","minecraft:cooked_cod_meal",""
"Minecraft","lilis_lucky_lures:cooked_cod_meal",22173,"Cooked Cod Meal","minecraft:cooked_cod_meal_from_campfire_cooking",""
"Minecraft","lilis_lucky_lures:cooked_cod_meal",22173,"Cooked Cod Meal","minecraft:cooked_cod_meal_from_smoking",""
"Minecraft","lilis_lucky_lures:grilled_tropical_fish",22179,"Grilled Tropical Fish","minecraft:grilled_tropical_fish",""
