"Mod name","Registry name","Item ID","Display name","Durability","Tags"
"Minecraft","minecraft:bow",760,"Bow",384,"incendium:tools_armor, amendments:goes_in_tripwire_hook, c:tools, hybrid-aquatic:fishing_treasure, c:bows, bookshelf:bows, galosphere:weapon_racks_can_hold"
"Minecraft","minecraft:brush",1217,"Brush",64,"amendments:goes_in_tripwire_hook, galosphere:weapon_racks_can_hold"
"Minecraft","minecraft:carrot_on_a_stick",733,"Carrot on a Stick",25,""
"Minecraft","minecraft:chainmail_boots",823,"Chainmail Boots",195,"bookshelf:boots, c:boots, incendium:tools_armor, supplementaries:ignite_flint_blocks, c:armors, incendium:armor, galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor"
"Minecraft","minecraft:chainmail_chestplate",821,"Chainmail Chestplate",240,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor, incendium:tools_armor, bookshelf:chestplates, c:chestplates, incendium:armor, c:armors"
"Minecraft","minecraft:chainmail_helmet",820,"Chainmail Helmet",165,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor, incendium:tools_armor, c:helmets, bookshelf:helmets, incendium:armor, c:armors"
"Minecraft","minecraft:chainmail_leggings",822,"Chainmail Leggings",225,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor, incendium:tools_armor, bookshelf:leggings, incendium:armor, c:armors, c:leggings"
"Minecraft","minecraft:crossbow",1143,"Crossbow",465,"c:crossbows, incendium:tools_armor, c:tools, c:bows, galosphere:weapon_racks_can_hold, bookshelf:crossbows, bookshelf:bows, amendments:goes_in_tripwire_hook"
"Minecraft","minecraft:diamond_axe",800,"Diamond Axe",1561,"minecraft:axes, minecraft:tools, galosphere:preservable_items, amendments:goes_in_tripwire_hook, incendium:tools, c:tools, c:axes, galosphere:weapon_racks_can_hold, immersive_armors:axes, incendium:tools_armor, minecraft:breaks_decorated_pots"
"Minecraft","minecraft:diamond_boots",831,"Diamond Boots",429,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:boots, incendium:tools_armor, c:armor, bookshelf:boots, incendium:armor, c:armors"
"Minecraft","minecraft:diamond_chestplate",829,"Diamond Chestplate",528,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor, incendium:tools_armor, bookshelf:chestplates, c:chestplates, incendium:armor, c:armors"
"Minecraft","minecraft:diamond_helmet",828,"Diamond Helmet",363,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor, incendium:tools_armor, c:helmets, bookshelf:helmets, incendium:armor, c:armors"
"Minecraft","minecraft:diamond_hoe",801,"Diamond Hoe",1561,"minecraft:hoes, amendments:goes_in_tripwire_hook, c:hoes, incendium:tools_armor, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, galosphere:preservable_items, minecraft:tools, c:tools, incendium:tools"
"Minecraft","minecraft:diamond_leggings",830,"Diamond Leggings",495,"galosphere:preservable_items, minecraft:trimmable_armor, bookshelf:armor, c:armor, incendium:tools_armor, bookshelf:leggings, incendium:armor, c:armors, c:leggings"
"Minecraft","minecraft:diamond_pickaxe",799,"Diamond Pickaxe",1561,"galosphere:stonefish_repellent, c:tools, galosphere:weapon_racks_can_hold, minecraft:cluster_max_harvestables, minecraft:tools, incendium:tools, galosphere:preservable_items, c:pickaxes, minecraft:breaks_decorated_pots, incendium:tools_armor, minecraft:pickaxes, amendments:goes_in_tripwire_hook"
"Minecraft","minecraft:diamond_shovel",798,"Diamond Shovel",1561,"amendments:goes_in_tripwire_hook, incendium:tools_armor, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, galosphere:preservable_items, minecraft:shovels, c:tools, minecraft:tools, c:shovels, incendium:tools"
"Minecraft","minecraft:diamond_sword",797,"Diamond Sword",1561,"amendments:goes_in_tripwire_hook, incendium:tools_armor, galosphere:weapon_racks_can_hold, minecraft:breaks_decorated_pots, galosphere:preservable_items, minecraft:tools, c:tools, bakery:knives, minecraft:swords, c:swords"
"Minecraft","minecraft:elytra",735,"Elytra",432,"furniture:trash_bag_blacklist, c:armor, c:armors, bookshelf:armor, c:chestplates, trinkets:chest/cape, bookshelf:chestplates"
