"Mod name","Registry name","Item ID","Display name","Tags"
"Chipped","chipped:blobby_moss_block",6315,"Blobby Moss Block","chipped:moss_block"
"Chipped","chipped:blue_moss_block",6316,"Blue Moss Block","chipped:moss_block"
"Chipped","chipped:brown_mushroom_bulb",6263,"Brown Mushroom Bulb","chipped:brown_mushroom"
"Chipped","chipped:brown_mushroom_bushel",6264,"Brown Mushroom Bushel","chipped:brown_mushroom"
"Chipped","chipped:brown_mushroom_cluster",6265,"Brown Mushroom Cluster","chipped:brown_mushroom"
"Chipped","chipped:brown_mushroom_trio",6266,"Brown Mushroom Trio","chipped:brown_mushroom"
"Chipped","chipped:bulbed_brown_mushroom",6255,"Bulbed Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:bulbed_red_mushroom",6269,"Bulbed Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:button_brown_mushroom",6256,"Button Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:button_red_mushroom",6270,"Button Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:clustered_brown_mushroom",6257,"Clustered Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:clustered_red_mushroom",6271,"Clustered Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:crunchy_moss_block",6317,"Crunchy Moss Block","chipped:moss_block"
"Chipped","chipped:double_brown_mushroom",6258,"Double Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:double_red_mushroom",6272,"Double Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:franken_brown_mushroom",6259,"Franken Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:franken_red_mushroom",6273,"Franken Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:hooded_brown_mushroom",6260,"Hooded Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:hooded_red_mushroom",6274,"Hooded Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:lime_moss_block",6318,"Lime Moss Block","chipped:moss_block"
"Chipped","chipped:micro_brown_mushroom",6261,"Micro Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:micro_red_mushroom",6275,"Micro Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:mini_brown_mushroom",6262,"Mini Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:mini_red_mushroom",6276,"Mini Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:old_moss_block",6319,"Old Moss Block","chipped:moss_block"
"Chipped","chipped:red_moss_block",6320,"Red Moss Block","chipped:moss_block"
"Chipped","chipped:red_mushroom_bulb",6277,"Red Mushroom Bulb","chipped:red_mushroom"
"Chipped","chipped:red_mushroom_bushel",6278,"Red Mushroom Bushel","chipped:red_mushroom"
"Chipped","chipped:red_mushroom_cluster",6279,"Red Mushroom Cluster","chipped:red_mushroom"
"Chipped","chipped:red_mushroom_trio",6280,"Red Mushroom Trio","chipped:red_mushroom"
"Chipped","chipped:smooth_moss_block",6321,"Smooth Moss Block","chipped:moss_block"
"Chipped","chipped:spongy_moss_block",6322,"Spongy Moss Block","chipped:moss_block"
"Chipped","chipped:sprinkled_moss_block",6323,"Sprinkled Moss Block","chipped:moss_block"
"Chipped","chipped:umbrella_brown_mushroom",6267,"Umbrella Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:umbrella_red_mushroom",6281,"Umbrella Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:wicked_brown_mushroom",6268,"Wicked Brown Mushroom","chipped:brown_mushroom"
"Chipped","chipped:wicked_red_mushroom",6282,"Wicked Red Mushroom","chipped:red_mushroom"
"Chipped","chipped:yellow_moss_block",6324,"Yellow Moss Block","chipped:moss_block"
