"Mod name","Registry name","Item ID","Display name","Tags"
"Chipped","chipped:acacia_barrel",7115,"Acacia Barrel","chipped:barrel"
"Chipped","chipped:acacia_crate",7116,"Acacia Crate","chipped:barrel"
"Chipped","chipped:acacia_planks_mosaic",6580,"Acacia Planks Mosaic","chipped:acacia_planks, minecraft:planks"
"Chipped","chipped:acacia_planks_panel",6610,"Acacia Planks Panel","chipped:acacia_planks, minecraft:planks"
"Chipped","chipped:acacia_planks_shavings",6581,"Acacia Planks Shavings","chipped:acacia_planks, minecraft:planks"
"Chipped","chipped:acacia_torch",7815,"Acacia Torch","chipped:torch, amendments:sets_on_fire"
"Chipped","chipped:ad_astra_ochre_froglight",6183,"Ad Astra Ochre Froglight","chipped:ochre_froglight"
"Chipped","chipped:ad_astra_pearlescent_froglight",6191,"Ad Astra Pearlescent Froglight","chipped:pearlescent_froglight"
"Chipped","chipped:ad_astra_verdant_froglight",6199,"Ad Astra Verdant Froglight","chipped:verdant_froglight"
"Chipped","chipped:airy_birch_trapdoor",7595,"Airy Birch Trapdoor","chipped:birch_trapdoor, minecraft:trapdoors"
"Chipped","chipped:airy_crimson_trapdoor",7728,"Airy Crimson Trapdoor","chipped:crimson_trapdoor, minecraft:trapdoors"
"Chipped","chipped:airy_dark_oak_trapdoor",7618,"Airy Dark Oak Trapdoor","chipped:dark_oak_trapdoor, minecraft:trapdoors"
"Chipped","chipped:airy_jungle_trapdoor",7641,"Airy Jungle Trapdoor","chipped:jungle_trapdoor, minecraft:trapdoors"
"Chipped","chipped:airy_mangrove_trapdoor",7663,"Airy Mangrove Trapdoor","chipped:mangrove_trapdoor, minecraft:trapdoors"
"Chipped","chipped:airy_oak_trapdoor",7684,"Airy Oak Trapdoor","chipped:oak_trapdoor, minecraft:trapdoors"
"Chipped","chipped:airy_spruce_trapdoor",7706,"Airy Spruce Trapdoor","chipped:spruce_trapdoor, minecraft:trapdoors"
"Chipped","chipped:airy_warped_trapdoor",7750,"Airy Warped Trapdoor","minecraft:trapdoors, chipped:warped_trapdoor"
"Chipped","chipped:alchemy_bench",5088,"Alchemy Bench",""
"Chipped","chipped:amethyst_block_bricks",5090,"Amethyst Block Bricks","chipped:amethyst_block"
"Chipped","chipped:amethyst_block_mini_tiles",5091,"Amethyst Block Mini Tiles","chipped:amethyst_block"
"Chipped","chipped:amethyst_block_pillar",5092,"Amethyst Block Pillar","chipped:amethyst_block"
"Chipped","chipped:amethyst_block_pillar_top",5093,"Amethyst Block Pillar Top","chipped:amethyst_block"
"Chipped","chipped:amethyst_block_scales",5094,"Amethyst Block Scales","chipped:amethyst_block"
"Chipped","chipped:ancient_cubed_oak_bookshelf",7152,"Ancient Cubed Oak Bookshelf","chipped:bookshelf"
"Chipped","chipped:ancient_debris_bricks",8858,"Ancient Debris Bricks","chipped:ancient_debris"
"Chipped","chipped:ancient_debris_mini_tiles",8859,"Ancient Debris Mini Tiles","chipped:ancient_debris"
"Chipped","chipped:ancient_debris_pillar",8860,"Ancient Debris Pillar","chipped:ancient_debris"
"Chipped","chipped:ancient_debris_pillar_top",8861,"Ancient Debris Pillar Top","chipped:ancient_debris"
"Chipped","chipped:ancient_debris_scales",8862,"Ancient Debris Scales","chipped:ancient_debris"
"Chipped","chipped:ancient_diamond_block",5429,"Ancient Diamond Block","chipped:diamond_block"
"Chipped","chipped:ancient_emerald_block",5441,"Ancient Emerald Block","chipped:emerald_block"
"Chipped","chipped:ancient_gold_block",5453,"Ancient Gold Block","chipped:gold_block"
"Chipped","chipped:ancient_iron_block",5465,"Ancient Iron Block","chipped:iron_block"
"Chipped","chipped:ancient_oak_bookshelf",7153,"Ancient Oak Bookshelf","chipped:bookshelf"
"Chipped","chipped:ancient_oak_large_bookshelf",7154,"Ancient Oak Large Bookshelf","chipped:bookshelf"
"Chipped","chipped:ancient_ochre_froglight",6184,"Ancient Ochre Froglight","chipped:ochre_froglight"
"Chipped","chipped:ancient_pearlescent_froglight",6192,"Ancient Pearlescent Froglight","chipped:pearlescent_froglight"
"Chipped","chipped:ancient_verdant_froglight",6200,"Ancient Verdant Froglight","chipped:verdant_froglight"
"Chipped","chipped:ancient_vertical_oak_bookshelf",7155,"Ancient Vertical Oak Bookshelf","chipped:bookshelf"
"Chipped","chipped:ancient_waxed_copper_block",5515,"Ancient Waxed Copper Block","chipped:waxed_copper_block"
"Chipped","chipped:ancient_waxed_exposed_copper",5526,"Ancient Waxed Exposed Copper","chipped:waxed_exposed_copper_block"
"Chipped","chipped:ancient_waxed_oxidized_copper",5548,"Ancient Waxed Oxidized Copper","chipped:waxed_oxidized_copper"
"Chipped","chipped:ancient_waxed_weathered_copper",5537,"Ancient Waxed Weathered Copper","chipped:waxed_weathered_copper"
"Chipped","chipped:andesite_bricks",8924,"Andesite Bricks","chipped:andesite"
"Chipped","chipped:andesite_gravel",6300,"Andesite Gravel","chipped:gravel"
"Chipped","chipped:andesite_mini_tiles",8925,"Andesite Mini Tiles","chipped:andesite"
"Chipped","chipped:andesite_pillar",8926,"Andesite Pillar","chipped:andesite"
"Chipped","chipped:andesite_pillar_top",8927,"Andesite Pillar Top","chipped:andesite"
"Chipped","chipped:andesite_pointed_dripstone",11877,"Andesite Pointed Dripstone","chipped:pointed_dripstone"
"Chipped","chipped:andesite_scales",8928,"Andesite Scales","chipped:andesite"
"Chipped","chipped:angled_mud_bricks",5958,"Angled Mud Bricks","chipped:mud"
"Chipped","chipped:angled_mud_bricks_bricks",11803,"Angled Mud Bricks Bricks","chipped:mud_bricks"
"Chipped","chipped:angled_packed_mud_bricks",6036,"Angled Packed Mud Bricks","chipped:packed_mud"
"Chipped","chipped:angry_amethyst_block",5095,"Angry Amethyst Block","chipped:amethyst_block"
"Chipped","chipped:angry_ancient_debris",8863,"Angry Ancient Debris","chipped:ancient_debris"
"Chipped","chipped:angry_andesite",8929,"Angry Andesite","chipped:andesite"
"Chipped","chipped:angry_basalt",8995,"Angry Basalt","chipped:basalt"
"Chipped","chipped:angry_blackstone",9058,"Angry Blackstone","chipped:blackstone"
