"Mod name","Registry name","Item ID","Display name"
"Chipped","chipped:acacia_barrel",7115,"Acacia Barrel"
"Chipped","chipped:acacia_crate",7116,"Acacia Crate"
"Chipped","chipped:acacia_planks_mosaic",6580,"Acacia Planks Mosaic"
"Chipped","chipped:acacia_planks_panel",6610,"Acacia Planks Panel"
"Chipped","chipped:acacia_planks_shavings",6581,"Acacia Planks Shavings"
"Chipped","chipped:acacia_torch",7815,"Acacia Torch"
"Chipped","chipped:ad_astra_ochre_froglight",6183,"Ad Astra Ochre Froglight"
"Chipped","chipped:ad_astra_pearlescent_froglight",6191,"Ad Astra Pearlescent Froglight"
"Chipped","chipped:ad_astra_verdant_froglight",6199,"Ad Astra Verdant Froglight"
"Chipped","chipped:airy_birch_trapdoor",7595,"Airy Birch Trapdoor"
"Chipped","chipped:airy_crimson_trapdoor",7728,"Airy Crimson Trapdoor"
"Chipped","chipped:airy_dark_oak_trapdoor",7618,"Airy Dark Oak Trapdoor"
"Chipped","chipped:airy_jungle_trapdoor",7641,"Airy Jungle Trapdoor"
"Chipped","chipped:airy_mangrove_trapdoor",7663,"Airy Mangrove Trapdoor"
"Chipped","chipped:airy_oak_trapdoor",7684,"Airy Oak Trapdoor"
"Chipped","chipped:airy_spruce_trapdoor",7706,"Airy Spruce Trapdoor"
"Chipped","chipped:airy_warped_trapdoor",7750,"Airy Warped Trapdoor"
"Chipped","chipped:alchemy_bench",5088,"Alchemy Bench"
"Chipped","chipped:amethyst_block_bricks",5090,"Amethyst Block Bricks"
"Chipped","chipped:amethyst_block_mini_tiles",5091,"Amethyst Block Mini Tiles"
"Chipped","chipped:amethyst_block_pillar",5092,"Amethyst Block Pillar"
"Chipped","chipped:amethyst_block_pillar_top",5093,"Amethyst Block Pillar Top"
"Chipped","chipped:amethyst_block_scales",5094,"Amethyst Block Scales"
"Chipped","chipped:ancient_cubed_oak_bookshelf",7152,"Ancient Cubed Oak Bookshelf"
"Chipped","chipped:ancient_debris_bricks",8858,"Ancient Debris Bricks"
"Chipped","chipped:ancient_debris_mini_tiles",8859,"Ancient Debris Mini Tiles"
"Chipped","chipped:ancient_debris_pillar",8860,"Ancient Debris Pillar"
"Chipped","chipped:ancient_debris_pillar_top",8861,"Ancient Debris Pillar Top"
"Chipped","chipped:ancient_debris_scales",8862,"Ancient Debris Scales"
"Chipped","chipped:ancient_diamond_block",5429,"Ancient Diamond Block"
"Chipped","chipped:ancient_emerald_block",5441,"Ancient Emerald Block"
"Chipped","chipped:ancient_gold_block",5453,"Ancient Gold Block"
"Chipped","chipped:ancient_iron_block",5465,"Ancient Iron Block"
"Chipped","chipped:ancient_oak_bookshelf",7153,"Ancient Oak Bookshelf"
"Chipped","chipped:ancient_oak_large_bookshelf",7154,"Ancient Oak Large Bookshelf"
"Chipped","chipped:ancient_ochre_froglight",6184,"Ancient Ochre Froglight"
"Chipped","chipped:ancient_pearlescent_froglight",6192,"Ancient Pearlescent Froglight"
"Chipped","chipped:ancient_verdant_froglight",6200,"Ancient Verdant Froglight"
"Chipped","chipped:ancient_vertical_oak_bookshelf",7155,"Ancient Vertical Oak Bookshelf"
"Chipped","chipped:ancient_waxed_copper_block",5515,"Ancient Waxed Copper Block"
"Chipped","chipped:ancient_waxed_exposed_copper",5526,"Ancient Waxed Exposed Copper"
"Chipped","chipped:ancient_waxed_oxidized_copper",5548,"Ancient Waxed Oxidized Copper"
"Chipped","chipped:ancient_waxed_weathered_copper",5537,"Ancient Waxed Weathered Copper"
"Chipped","chipped:andesite_bricks",8924,"Andesite Bricks"
"Chipped","chipped:andesite_gravel",6300,"Andesite Gravel"
"Chipped","chipped:andesite_mini_tiles",8925,"Andesite Mini Tiles"
"Chipped","chipped:andesite_pillar",8926,"Andesite Pillar"
"Chipped","chipped:andesite_pillar_top",8927,"Andesite Pillar Top"
"Chipped","chipped:andesite_pointed_dripstone",11877,"Andesite Pointed Dripstone"
"Chipped","chipped:andesite_scales",8928,"Andesite Scales"
"Chipped","chipped:angled_mud_bricks",5958,"Angled Mud Bricks"
"Chipped","chipped:angled_mud_bricks_bricks",11803,"Angled Mud Bricks Bricks"
"Chipped","chipped:angled_packed_mud_bricks",6036,"Angled Packed Mud Bricks"
"Chipped","chipped:angry_amethyst_block",5095,"Angry Amethyst Block"
"Chipped","chipped:angry_ancient_debris",8863,"Angry Ancient Debris"
"Chipped","chipped:angry_andesite",8929,"Angry Andesite"
