"Mod ID","Mod name","Mod version"
"advanced_runtime_resource_pack","Runtime Resource Pack","0.6.7"
"advancednetherite","Advanced Netherite","2.1.3-1.20.1"
"ae2","Applied Energistics 2","15.4.10"
"ae2wtlib","AE2WTLib","15.2.1-fabric"
"ambientenvironment","Ambient Environment","11.0.0.1"
"ambientsounds","AmbientSounds","6.3.8"
"amendments","Amendments","1.20-2.2.5"
"appleskin","AppleSkin","2.5.2+mc1.20.1"
"architectury","Architectury","9.2.14"
"artifacts","Artifacts","9.5.17"
"athena","Athena","3.1.2"
"autohud","Auto HUD","8.11"
"azurelib","AzureLib","3.1.9"
"azurelibarmor","AzureLib Armor","2.0.14"
"bakery","[Let's Do] Bakery","2.0.6"
"balm","Balm","7.3.38"
"bclib","BCLib","3.0.14"
"beautify","Beautify","2.0.0+1.20.1"
"beekeeperhut","Friends&Foes - Beekeeper Hut","2.0.1"
"betteradvancements","Better Advancements","0.4.2.59"
"bettercombat","Better Combat","1.9.0+1.20.1"
"betterdays","BetterDays","3.3.4.5"
"betterdeserttemples","YUNG's Better Desert Temples","1.20-Fabric-3.0.3"
"betterdungeons","YUNG's Better Dungeons","1.20-Fabric-4.0.4"
"betterend","Better End","4.0.11"
"betterendisland","YUNG's Better End Island","1.20-Fabric-2.0.6"
"betterfortresses","YUNG's Better Nether Fortresses","1.20-Fabric-2.0.6"
"betterjungletemples","YUNG's Better Jungle Temples","1.20-Fabric-2.0.5"
"bettermineshafts","YUNG's Better Mineshafts","1.20-Fabric-4.0.4"
"bettermounthud","Better Mount HUD","1.2.2"
"betternether","Better Nether","9.0.10"
"betteroceanmonuments","YUNG's Better Ocean Monuments","1.20-Fabric-3.0.4"
"betterstrongholds","YUNG's Better Strongholds","1.20-Fabric-4.0.3"
"betterwitchhuts","YUNG's Better Witch Huts","1.20-Fabric-3.0.3"
"biolith","Biolith","1.0.1-alpha.1"
"blackwolflibrary","Blackwolf Library","1.20.1-1.0.4-[FABRIC]"
"blockus","Blockus","2.7.21+1.20.1"
"bloomingnature","[Let's Do] BloomingNature","1.0.12"
"blue_endless_jankson","jankson","1.2.3"
"bookshelf","Bookshelf","20.2.15"
"brewery","[Let's Do] Brewery","2.0.6"
"c2me","Concurrent Chunk Management Engine","0.2.0+alpha.11.16"
"c2me-base","Concurrent Chunk Management Engine (Base)","0.2.0+alpha.11.16"
"c2me-client-uncapvd","Concurrent Chunk Management Engine (Client/Uncap View Distance)","0.2.0+alpha.11.16"
"c2me-fixes-chunkio-threading-issues","Concurrent Chunk Management Engine (Fixes/Chunk IO/Threading Issues)","0.2.0+alpha.11.16"
"c2me-fixes-general-threading-issues","Concurrent Chunk Management Engine (Fixes/General/Threading Issues)","0.2.0+alpha.11.16"
"c2me-fixes-worldgen-threading-issues","Concurrent Chunk Management Engine (Fixes/WorldGen/Threading Issues)","0.2.0+alpha.11.16"
"c2me-fixes-worldgen-vanilla-bugs","Concurrent Chunk Management Engine (Fixes/WorldGen/Vanilla Bugs)","0.2.0+alpha.11.16"
"c2me-notickvd","Concurrent Chunk Management Engine (No Tick View Distance)","0.2.0+alpha.11.16"
"c2me-opts-allocs","Concurrent Chunk Management Engine (Optimizations/Memory Allocations)","0.2.0+alpha.11.16"
"c2me-opts-chunk-access","Concurrent Chunk Management Engine (Optimizations/Chunk Access)","0.2.0+alpha.11.16"
"c2me-opts-chunkio","Concurrent Chunk Management Engine (Optimizations/Chunk IO)","0.2.0+alpha.11.16"
"c2me-opts-math","Concurrent Chunk Management Engine (Optimizations/Math)","0.2.0+alpha.11.16"
