"Registry name","Width","Height"
"furniture:ants","48","16"
"furniture:butterfly","48","32"
"furniture:foraging_woodpecker","32","64"
"furniture:honey_fall","16","64"
"furniture:hopper","64","64"
"furniture:lavender_fields","32","32"
"furniture:lonely_daisy","16","16"
"furniture:rabbit","32","16"
"furniture:roses","32","48"
"furniture:sakura_grove","64","32"
"furniture:sitting_bear","48","48"
"furniture:sleeping_fox","16","48"
"furniture:strong","64","16"
"furniture:sunflower","16","32"
"furniture:tulip_fields","64","48"
"furniture:waterfall","48","64"
"handcrafted:ad_astra","16","16"
"handcrafted:apple","16","16"
"handcrafted:beach_sunrise_left","32","16"
"handcrafted:beach_sunrise_mid","16","16"
"handcrafted:beach_sunrise_right","32","16"
"handcrafted:broken_birches","32","32"
"handcrafted:broken_birches_left_sidepanel","16","32"
"handcrafted:broken_birches_right_sidepanel","16","32"
"handcrafted:cookies_on_a_plate","32","32"
"handcrafted:coral_depths","32","32"
"handcrafted:desert_plateau","32","16"
"handcrafted:flower_in_the_darkness","16","32"
"handcrafted:green_woods","48","32"
"handcrafted:lava_puddles","32","32"
"handcrafted:love_flowers","16","16"
"handcrafted:marigold_meadows","16","16"
"handcrafted:misty_mountain_left_sidepanel","16","32"
"handcrafted:misty_mountain_right_sidepanel","16","32"
"handcrafted:misty_mountains","32","32"
"handcrafted:my_man_diorite","32","32"
"handcrafted:mysterious_mangroves","32","32"
"handcrafted:nian_cat","32","16"
"handcrafted:pride_steve","16","16"
"handcrafted:rocky_beach","48","32"
"handcrafted:safari_sunset","48","32"
"handcrafted:small_safari_sunset","16","16"
"handcrafted:terrarium","32","32"
"handcrafted:the_cat_and_the_cup","32","32"
"minecraft:alban","16","16"
"minecraft:aztec","16","16"
"minecraft:aztec2","16","16"
"minecraft:bomb","16","16"
"minecraft:burning_skull","64","64"
"minecraft:bust","32","32"
"minecraft:courbet","32","16"
"minecraft:creebet","32","16"
"minecraft:donkey_kong","64","48"
"minecraft:earth","32","32"
"minecraft:fighters","64","32"
"minecraft:fire","32","32"
"minecraft:graham","16","32"
"minecraft:kebab","16","16"
"minecraft:match","32","32"
"minecraft:pigscene","64","64"
"minecraft:plant","16","16"
"minecraft:pointer","64","64"
"minecraft:pool","32","16"
"minecraft:sea","32","16"
"minecraft:skeleton","64","48"
"minecraft:skull_and_roses","32","32"
"minecraft:stage","32","32"
"minecraft:sunset","32","16"
"minecraft:void","32","32"
"minecraft:wanderer","16","32"
"minecraft:wasteland","16","16"
"minecraft:water","32","32"
"minecraft:wind","32","32"
"minecraft:wither","32","32"
"supplementaries:bombs","32","32"
