"Registry name","ID"
"ae2:guide.click",2514
"amendments:explosion.fireball",2517
"artifacts:block.water.step",1480
"artifacts:entity.mimic.close",1478
"artifacts:entity.mimic.death",1476
"artifacts:entity.mimic.hurt",1475
"artifacts:entity.mimic.open",1477
"artifacts:generic.pop",1474
"artifacts:item.whoopee_cushion.fart",1479
"bakery:cabinet_close",1486
"bakery:cabinet_open",1485
"bakery:cake_cut",1482
"bakery:cooking_pot_hit",1481
"bakery:drawer_close",1484
"bakery:drawer_open",1483
"beautify:block.blinds_close",1494
"beautify:block.blinds_open",1493
"beautify:block.bookstack_break",1488
"beautify:block.bookstack_fall",1492
"beautify:block.bookstack_hit",1491
"beautify:block.bookstack_next",1487
"beautify:block.bookstack_place",1490
"beautify:block.bookstack_step",1489
"bettercombat:anchor_slam",1495
"bettercombat:axe_slash",1496
"bettercombat:claymore_slam",1499
"bettercombat:claymore_stab",1498
"bettercombat:claymore_swing",1497
"bettercombat:dagger_slash",1500
"bettercombat:double_axe_swing",1501
"bettercombat:fist_punch",1502
"bettercombat:glaive_slash_quick",1503
"bettercombat:glaive_slash_slow",1504
"bettercombat:hammer_slam",1505
"bettercombat:katana_slash",1506
"bettercombat:mace_slam",1507
"bettercombat:mace_slash",1508
"bettercombat:pickaxe_swing",1509
"bettercombat:rapier_slash",1510
"bettercombat:rapier_stab",1511
"bettercombat:scythe_slash",1512
"bettercombat:sickle_slash",1518
"bettercombat:spear_stab",1513
"bettercombat:staff_slam",1514
"bettercombat:staff_slash",1515
"bettercombat:staff_spin",1516
"bettercombat:staff_stab",1517
"bettercombat:sword_slash",1519
"bettercombat:wand_swing",1520
"betterend:betterend.ambient.amber_land",1536
"betterend:betterend.ambient.blossoming_spires",1531
"betterend:betterend.ambient.caves",1535
"betterend:betterend.ambient.chorus_forest",1527
"betterend:betterend.ambient.dust_wastelands",1529
"betterend:betterend.ambient.foggy_mushroomland",1526
"betterend:betterend.ambient.glowing_grasslands",1534
"betterend:betterend.ambient.megalake",1528
"betterend:betterend.ambient.megalake_grove",1530
"betterend:betterend.ambient.sulphur_springs",1532
"betterend:betterend.ambient.umbra_valley",1537
"betterend:betterend.ambient.umbrella_jungle",1533
"betterend:betterend.entity.dragonfly",1538
"betterend:betterend.entity.shadow_walker",1539
"betterend:betterend.entity.shadow_walker_damage",1540
"betterend:betterend.entity.shadow_walker_death",1541
"betterend:betterend.music.caves",1525
"betterend:betterend.music.dark",1523
"betterend:betterend.music.forest",1521
"betterend:betterend.music.openspace",1524
"betterend:betterend.music.water",1522
"betterend:betterend.record.endseeker",1544
"betterend:betterend.record.eo_dracona",1545
"betterend:betterend.record.grasping_at_stars",1543
"betterend:betterend.record.strange_and_alien",1542
"betternether:betternether.ambient.gravel_desert",1547
"betternether:betternether.ambient.mushroom_forest",1546
"betternether:betternether.ambient.nether_jungle",1548
"betternether:betternether.ambient.swampland",1549
"betternether:betternether.mob.firefly.fly",1550
"betternether:betternether.mob.jellyfish",1551
"betternether:betternether.mob.naga_attack",1553
"betternether:betternether.mob.naga_idle",1552
"betternether:betternether.mob.skull_flight",1554
"brewery:beer_elemental_ambient",1563
"brewery:beer_elemental_attack",1562
"brewery:beer_elemental_death",1564
"brewery:beer_elemental_hurt",1565
"brewery:breath",1555
"brewery:brewstation_ambient",1558
"brewery:brewstation_kettle",1557
"brewery:brewstation_oven",1556
"brewery:brewstation_process_failed",1561
