"Registry name","Name"
"ae2:fluix_researcher","ae2:fluix_researcher"
"beautify:botanist","botanist"
"chefsdelight:delightchef","delightchef"
"chefsdelight:delightcook","delightcook"
"friendsandfoes:beekeeper","beekeeper"
"meadow:cheesemaker","meadow:cheesemaker"
"meadow:hermit","meadow:hermit"
"minecraft:armorer","armorer"
"minecraft:butcher","butcher"
"minecraft:cartographer","cartographer"
"minecraft:cleric","cleric"
"minecraft:farmer","farmer"
"minecraft:fisherman","fisherman"
"minecraft:fletcher","fletcher"
"minecraft:leatherworker","leatherworker"
"minecraft:librarian","librarian"
"minecraft:mason","mason"
"minecraft:nitwit","nitwit"
"minecraft:none","none"
"minecraft:shepherd","shepherd"
"minecraft:toolsmith","toolsmith"
"minecraft:weaponsmith","weaponsmith"
"vinery:winemaker","vinery:winemaker"
"wizards:wizard_merchant","wizards:wizard_merchant"
