"Registry name","Profession","Level","Buy 1","Buy 2","Sell"
"ae2:fluix_researcher","ae2:fluix_researcher","","","",""
"","","1","","",""
"","","","Emerald","","Certus Quartz Crystal"
"","","","Emerald","","Meteorite Compass"
"","","2","","",""
"","","","Charged Certus Quartz Crystal","","Emerald"
"","","","Silicon","","Emerald"
"","","","Emerald","","Sky Stone"
"","","3","","",""
"","","","Quartz Glass","","Emerald"
"","","","Emerald","","Fluix Crystal"
"","","4","","",""
"","","","Matter Ball","","Emerald"
"","","","Emerald","","Inscriber Calculation Press"
"","","","Emerald","","Inscriber Engineering Press"
"","","","Emerald","","Inscriber Logic Press"
"","","","Emerald","","Inscriber Silicon Press"
"","","5","","",""
"","","","Emerald","","Slimeball"
"beautify:botanist","botanist","","","",""
"","","1","","",""
"","","","Emerald","","Hanging Pot"
"","","","Emerald","","Flower Pot"
"","","","Emerald","","Vines"
"","","2","","",""
"","","","Emerald","","Oak Lattice"
"","","","Emerald","","Spruce Lattice"
"","","","Emerald","","Birch Lattice"
"","","","Emerald","","Jungle Lattice"
"","","","Emerald","","Acacia Lattice"
"","","","Emerald","","Dark Oak Lattice"
"","","","Emerald","","Mangrove Lattice"
"","","","Emerald","","Crimson Lattice"
"","","","Emerald","","Warped Lattice"
"","","","Emerald","","Big Dripleaf"
"","","","Emerald","","Small Dripleaf"
"","","3","","",""
"","","","Emerald","","Lily Pad"
"","","","Emerald","","Spore Blossom"
"","","4","","",""
"","","","Emerald","","Moss Block"
"","","","Emerald","","Flowering Azalea"
"","","5","","",""
"","","","Emerald","","Rooted Dirt"
"","","","Emerald","","Hanging Roots"
"chefsdelight:delightchef","delightchef","","","",""
"","","1","","",""
"","","","Rope","","Emerald"
"","","","Onion","","Emerald"
"","","","Emerald","","Mixed Salad"
"","","","Emerald","","Bacon and Eggs"
"","","2","","",""
"","","","Tomato","","Emerald"
"","","","Cabbage","","Emerald"
"","","","Emerald","","Melon Juice"
"","","","Emerald","","Cooked Rice"
"","","3","","",""
"","","","Rice","","Emerald"
"","","","Pie Crust","","Emerald"
"","","","Ham","","Emerald"
"","","","Emerald","","Apple Pie"
"","","","Emerald","","Beef Stew"
"","","4","","",""
"","","","Wheat Dough","","Emerald"
"","","","Raw Pasta","","Emerald"
"","","","Emerald","","Steak and Potatoes"
"","","","Emerald","","Pasta with Mutton Chop"
"","","","Emerald","","Roasted Mutton Chops"
"","","5","","",""
"","","","Kelp Roll","","Emerald"
"","","","Salmon Roll","","Emerald"
"","","","Emerald","","Roast Chicken"
"","","","Emerald","","Honey Glazed Ham"
"chefsdelight:delightcook","delightcook","","","",""
"","","1","","",""
"","","","Raw Bacon","","Emerald"
"","","","Minced Beef","","Emerald"
"","","","Egg","","Emerald"
"","","","Raw Chicken Cuts","","Emerald"
"","","","Emerald","","Egg Sandwich"
"","","2","","",""
"","","","Onion","","Emerald"
"","","","Apple","","Emerald"
"","","","Tomato","","Emerald"
"","","","Cabbage","","Emerald"
"","","","Emerald","","Chicken Sandwich"
"","","","Emerald","","Bacon Sandwich"
"","","3","","",""
"","","","Melon","","Emerald"
"","","","Raw Mutton Chops","","Emerald"
"","","","Pumpkin Slice","","Emerald"
"","","","Emerald","","Melon Juice"
